#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718186.1         -           2536 181at5820            -           2145         0 3919.0 183.3   1   1         0         0 3916.9 183.3     1  2145    74  2491    74  2491 0.92 | transcript=PVPAM_030018600_t1 | gene=PVPAM_030018600 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=CASCJQ010000003:600802-609492(-) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 181at5820            -           2145    1e-221  737.5 142.0   1   5   4.3e-81   9.3e-78  260.0  66.4   538  1114  1149  1765  1132  1779 0.82 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 181at5820            -           2145    1e-221  737.5 142.0   2   5   2.5e-08   5.3e-05   18.7   6.7  1117  1184  1831  1899  1817  1904 0.80 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 181at5820            -           2145    1e-221  737.5 142.0   3   5  3.9e-151  8.4e-148  492.3  52.9  1200  1862  2086  2753  2072  2783 0.92 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 181at5820            -           2145    1e-221  737.5 142.0   4   5         3   6.5e+03   -9.8   6.3  1873  1941  2934  3005  2930  3027 0.60 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 181at5820            -           2145    1e-221  737.5 142.0   5   5         3   6.5e+03  -11.0   9.3  2013  2136  3101  3220  3090  3224 0.73 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   1   7   1.7e-33   3.7e-30  102.2  51.9   609  1050   736  1200   668  1207 0.81 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   2   7   3.5e-12   7.6e-09   31.5  18.5  1012  1168  1549  1693  1437  1725 0.69 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   3   7   1.3e-05     0.027    9.7   1.5  1056  1116  1835  1894  1831  1899 0.83 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   4   7   2.8e-15     6e-12   41.8   4.1  1235  1340  1920  2032  1916  2039 0.83 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   5   7   0.00012      0.27    6.4  17.3  1349  1495  2142  2287  2098  2354 0.62 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
