#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723462.1         -            583 5345at5820           -            445  2.2e-292  968.0  37.6   1   2   1.7e-16   2.2e-13   48.5   0.1     1    34    41    74    41    85 0.90 | transcript=PVPAM_140038400_t1 | gene=PVPAM_140038400 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=CASCJQ010000014:1439506-1442003(+) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723462.1         -            583 5345at5820           -            445  2.2e-292  968.0  37.6   2   2  1.3e-281  1.7e-278  922.3  32.9    31   445   168   583   159   583 0.99 | transcript=PVPAM_140038400_t1 | gene=PVPAM_140038400 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=CASCJQ010000014:1439506-1442003(+) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720350.1         -            475 5345at5820           -            445  7.7e-140  465.3  16.9   1   1  3.4e-142  4.4e-139  462.8  16.9     6   444    12   474     7   475 0.90 | transcript=PVPAM_090011500_t1 | gene=PVPAM_090011500 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=CASCJQ010000009:381016-382443(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721235.1         -            483 5345at5820           -            445  3.3e-105  351.1   7.1   1   1  3.1e-108    4e-105  350.9   7.1     8   445    10   449     3   449 0.89 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722251.1         -            344 5345at5820           -            445   0.00084   16.9   0.3   1   2   2.5e-05     0.032   11.7   0.0    54   108    41    97    28   106 0.76 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722251.1         -            344 5345at5820           -            445   0.00084   16.9   0.3   2   2      0.01        13    3.1   0.2   222   266   222   267   214   283 0.85 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5345at5820           -            445      0.31    8.5   6.3   1   4    0.0038       4.9    4.5   0.2    60   115   511   563   498   615 0.76 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5345at5820           -            445      0.31    8.5   6.3   2   4       1.1   1.4e+03   -3.6   0.1   258   300   658   704   651   710 0.53 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5345at5820           -            445      0.31    8.5   6.3   3   4    0.0011       1.4    6.3   0.0    56    88   827   859   820   862 0.87 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5345at5820           -            445      0.31    8.5   6.3   4   4      0.42   5.5e+02   -2.2   0.1   287   348   890   949   882   961 0.78 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5345at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
