#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718835.1         -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718835.1         -            690 3994at5820           -            641         0 1477.0  29.4   2   2   4.8e-07   0.00034   17.3  16.3   605   641   652   690   652   690 0.68 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719621.1         -            652 3994at5820           -            641  1.5e-234  778.4  10.3   1   1  2.7e-237    2e-234  778.0  10.3    10   605    30   635    22   643 0.95 | transcript=PVPAM_070023500_t1 | gene=PVPAM_070023500 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000007:826010-828426(+) | protein_length=652 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720625.1         -            663 3994at5820           -            641    2e-177  589.6  11.0   1   1  3.3e-180  2.4e-177  589.4  11.0     7   564    40   590    33   644 0.92 | transcript=PVPAM_090038900_t1 | gene=PVPAM_090038900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000009:1492217-1494208(+) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3994at5820           -            641   5.4e-40  135.6   6.1   1   3   5.2e-31   3.7e-28   96.5   2.3    11   252     4   251     2   271 0.87 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3994at5820           -            641   5.4e-40  135.6   6.1   2   3   7.1e-17   5.1e-14   49.8   0.1   267   387   294   414   276   421 0.89 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3994at5820           -            641   5.4e-40  135.6   6.1   3   3       6.3   4.5e+03   -6.2   4.3   555   582   754   779   646   853 0.66 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3994at5820           -            641   4.5e-23   79.7   1.9   1   3    0.0016       1.1    5.7   0.0    10    75    26    92    18   116 0.88 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3994at5820           -            641   4.5e-23   79.7   1.9   2   3   6.2e-26   4.5e-23   79.7   1.9   119   401   165   461   135   562 0.81 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3994at5820           -            641   4.5e-23   79.7   1.9   3   3      0.78   5.6e+02   -3.2   3.3   515   584   648   717   625   740 0.77 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719658.1         -            606 3994at5820           -            641     5e-06   23.3   2.2   1   2     7e-09     5e-06   23.3   2.2   529   630    87   191    59   203 0.72 | transcript=PVPAM_070027200_t1 | gene=PVPAM_070027200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:976846-979137(-) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
