#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723569.1         -            440 8774at5820           -            361  4.4e-198  656.0  30.9   1   2   4.3e-10   9.4e-07   26.5   5.0     1    70     1    79     1    95 0.85 | transcript=PVPAM_140049300_t1 | gene=PVPAM_140049300 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=CASCJQ010000014:1905410-1907661(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723569.1         -            440 8774at5820           -            361  4.4e-198  656.0  30.9   2   2  4.5e-195  9.7e-192  635.1  18.4    37   361   100   440    83   440 0.94 | transcript=PVPAM_140049300_t1 | gene=PVPAM_140049300 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=CASCJQ010000014:1905410-1907661(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 8774at5820           -            361   9.7e-51  171.2  11.7   1   3   4.3e-36   9.2e-33  112.1   3.3    54   342     2   287     1   296 0.88 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 8774at5820           -            361   9.7e-51  171.2  11.7   2   3   2.6e-05     0.056   10.8   0.4   254   332   319   398   287   417 0.75 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 8774at5820           -            361   9.7e-51  171.2  11.7   3   3   3.1e-18   6.6e-15   53.4   0.1   106   216   412   519   400   526 0.85 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   1   7         3   6.5e+03  -11.2  20.8     8    74   727   792   720   809 0.75 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   2   7      0.33   7.2e+02   -2.7   0.1   102   145  1809  1852  1796  1860 0.81 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   3   7   4.9e-08   0.00011   19.8   0.5   133   222  1974  2063  1898  2083 0.79 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   4   7   2.5e-07   0.00054   17.4   0.6   120   213  2216  2311  2182  2326 0.84 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   5   7    0.0026       5.6    4.2   3.7    93   173  2341  2418  2327  2428 0.87 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   6   7   1.9e-08     4e-05   21.2   0.0   291   337  2450  2496  2439  2509 0.77 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 8774at5820           -            361   1.6e-25   88.3  60.4   7   7   3.6e-20   7.7e-17   59.7   0.6   200   348  3059  3220  2948  3231 0.77 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8774at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
