#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   1   9   8.8e-17   5.7e-13   46.4   0.0     1    45     1    45     1    47 0.97 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   2   9  2.8e-108  1.8e-104  349.2  15.0    45   277    86   333    82   336 0.93 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   3   9   2.3e-49   1.5e-45  154.2   1.1   276   375   436   535   432   541 0.97 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   4   9   1.1e-07   0.00074   16.2   0.0   374   401   569   596   566   599 0.92 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   5   9   8.2e-11   5.3e-07   26.6   0.5   397   428   628   659   622   665 0.90 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   6   9   3.9e-32   2.5e-28   97.2   0.1   429   498   703   778   695   791 0.92 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   7   9    1e-109  6.7e-106  353.9  12.6   498   739   804  1051   801  1061 0.96 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   8   9   3.2e-16   2.1e-12   44.5   0.4   729   810  1072  1170  1058  1181 0.75 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722900.1         -           1446 1767at5820           -            979         0 1336.9  74.5   9   9   2.9e-85   1.8e-81  273.1   6.6   802   979  1262  1442  1249  1442 0.95 | transcript=PVPAM_130040200_t1 | gene=PVPAM_130040200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 3, putative | transcript_product=vacuolar protein sorting-associated protein 3, putative | location=CASCJQ010000013:1552712-1557325(-) | protein_length=1446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1767at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1767at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:33 2026
# [ok]
