#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   1   7   5.8e-27   7.5e-24   82.8   0.0     1    66     1    66     1    75 0.93 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   2   7     5e-20   6.4e-17   60.0   0.1    73   118   196   246   160   253 0.80 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   3   7   2.5e-34   3.2e-31  107.1  23.8   117   256   313   462   309   463 0.94 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   4   7   5.6e-55   7.2e-52  175.2  26.9   177   361   423   613   421   697 0.72 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   5   7   4.1e-16   5.3e-13   47.1  10.4   178   448   612   914   572   928 0.49 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   6   7    0.0054       6.9    3.8   0.7   374   453   908   987   901  1000 0.84 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720490.1         -           1190 2762at5820           -            488  1.2e-147  491.1  78.1   7   7   3.1e-15   3.9e-12   44.2   0.2   453   488  1146  1181  1134  1181 0.90 | transcript=PVPAM_090025500_t1 | gene=PVPAM_090025500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:936579-940151(-) | protein_length=1190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718012.1         -            495 2762at5820           -            488     0.002   15.4  42.8   1   3   0.00027      0.35    8.1   1.5   185   275   116   162    92   178 0.53 | transcript=PVPAM_020024500_t1 | gene=PVPAM_020024500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000002:839094-840861(+) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718012.1         -            495 2762at5820           -            488     0.002   15.4  42.8   2   3   5.4e-05     0.069   10.4  10.6   172   271   243   340   222   346 0.71 | transcript=PVPAM_020024500_t1 | gene=PVPAM_020024500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000002:839094-840861(+) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718012.1         -            495 2762at5820           -            488     0.002   15.4  42.8   3   3    0.0011       1.4    6.1  20.0   175   327   327   471   318   489 0.77 | transcript=PVPAM_020024500_t1 | gene=PVPAM_020024500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000002:839094-840861(+) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721457.1         -            134 2762at5820           -            488     0.013   12.7   0.0   1   1   1.2e-05     0.015   12.5   0.0   131   208    12    90     1   101 0.35 | transcript=PVPAM_110036200_t1 | gene=PVPAM_110036200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1315401-1315805(+) | protein_length=134 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
