#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   1  13  2.3e-133  2.9e-130  434.2   8.0     1   231     1   243     1   246 0.96 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   2  13  1.6e-159  2.1e-156  520.8   4.9   231   472   357   598   352   620 0.98 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   3  13     2e-10   2.6e-07   27.2   0.2   489   520   666   697   660   702 0.87 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   4  13      0.25   3.2e+02   -2.9  10.3   522   553   864   895   858   915 0.71 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   5  13   0.00036      0.46    6.5   9.5   532   567  1018  1053  1005  1057 0.79 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   6  13     0.039        50   -0.2   0.0   559   589  1105  1135  1096  1148 0.82 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   7  13   2.2e-10   2.8e-07   27.1   0.0   608   637  1356  1385  1313  1395 0.83 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   8  13   6.4e-62   8.3e-59  197.7   3.5   648   781  1539  1685  1524  1694 0.89 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   9  13    0.0079        10    2.1   0.0   799   822  1781  1804  1744  1821 0.76 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2  10  13   7.4e-09   9.6e-06   22.0   0.0   822   871  1891  1943  1886  1963 0.85 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2  11  13     0.031        40    0.1   3.3   868   912  2046  2090  1996  2110 0.76 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
