#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721985.1         -            378 10220at5820          -            295  1.6e-173  574.3  46.4   1   3     1e-53   1.4e-50  170.7  17.3     1   114     1   116     1   125 0.86 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 10220at5820          -            295  1.6e-173  574.3  46.4   2   3    0.0054         7    4.2   6.3    66   123   100   164    97   171 0.72 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 10220at5820          -            295  1.6e-173  574.3  46.4   3   3    4e-126  5.2e-123  408.4  15.3    92   295   176   378   154   378 0.94 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723427.1         -            313 10220at5820          -            295     9e-30  102.4  26.0   1   2   1.5e-08     2e-05   22.5   0.8     8    48     3    43     1    62 0.87 | transcript=PVPAM_140034900_t1 | gene=PVPAM_140034900 | organism=Plasmodium_vivax_PAM | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=CASCJQ010000014:1272466-1274002(+) | protein_length=313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723427.1         -            313 10220at5820          -            295     9e-30  102.4  26.0   2   2     2e-27   2.6e-24   84.4  18.8    53   259    76   295    58   304 0.79 | transcript=PVPAM_140034900_t1 | gene=PVPAM_140034900 | organism=Plasmodium_vivax_PAM | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=CASCJQ010000014:1272466-1274002(+) | protein_length=313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719712.1         -            156 10220at5820          -            295   2.9e-14   51.5   2.4   1   2   4.4e-15   5.7e-12   43.9   0.9   125   216    18   110     8   114 0.90 | transcript=PVPAM_070032600_t1 | gene=PVPAM_070032600 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000007:1196551-1197244(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719712.1         -            156 10220at5820          -            295   2.9e-14   51.5   2.4   2   2   0.00014      0.19    9.4   0.0   248   284   107   142   106   153 0.83 | transcript=PVPAM_070032600_t1 | gene=PVPAM_070032600 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000007:1196551-1197244(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720139.1         -            894 10220at5820          -            295   3.2e-07   28.3   2.5   1   2       3.3   4.2e+03   -4.9   2.4    69    91   223   247   212   258 0.39 | transcript=PVPAM_080036100_t1 | gene=PVPAM_080036100 | organism=Plasmodium_vivax_PAM | gene_product=CS domain-containing protein, putative | transcript_product=CS domain-containing protein, putative | location=CASCJQ010000008:1412663-1415347(+) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720139.1         -            894 10220at5820          -            295   3.2e-07   28.3   2.5   2   2   2.4e-10   3.2e-07   28.3   2.5    59   189   696   827   671   833 0.70 | transcript=PVPAM_080036100_t1 | gene=PVPAM_080036100 | organism=Plasmodium_vivax_PAM | gene_product=CS domain-containing protein, putative | transcript_product=CS domain-containing protein, putative | location=CASCJQ010000008:1412663-1415347(+) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 10220at5820          -            295    0.0035   15.1   1.2   1   2   2.7e-06    0.0035   15.1   1.2    98   163    97   163    61   215 0.79 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 10220at5820          -            295    0.0035   15.1   1.2   2   2      0.25   3.2e+02   -1.2   0.0   203   218   262   277   232   295 0.75 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
