#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722149.1         -            620 5842at5820           -            485  2.9e-267  885.4  31.0   1   2   8.6e-10   1.1e-06   26.0   2.8     1    28     1    28     1    38 0.94 | transcript=PVPAM_120038700_t1 | gene=PVPAM_120038700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000012:1338721-1340862(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722149.1         -            620 5842at5820           -            485  2.9e-267  885.4  31.0   2   2    1e-263  1.3e-260  863.5  20.4    22   485    66   620    55   620 0.94 | transcript=PVPAM_120038700_t1 | gene=PVPAM_120038700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000012:1338721-1340862(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721874.1         -            348 5842at5820           -            485   2.1e-14   51.5  19.5   1   3     0.039        51    0.8   0.5   396   454    10    68     2    85 0.68 | transcript=PVPAM_120010800_t1 | gene=PVPAM_120010800 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000012:230282-231829(-) | protein_length=348 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721874.1         -            348 5842at5820           -            485   2.1e-14   51.5  19.5   2   3    0.0027       3.4    4.6   1.2    30    77    49    98    34   108 0.80 | transcript=PVPAM_120010800_t1 | gene=PVPAM_120010800 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000012:230282-231829(-) | protein_length=348 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721874.1         -            348 5842at5820           -            485   2.1e-14   51.5  19.5   3   3   1.2e-16   1.5e-13   48.7   8.9   110   296   107   278    97   287 0.81 | transcript=PVPAM_120010800_t1 | gene=PVPAM_120010800 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000012:230282-231829(-) | protein_length=348 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723368.1         -            595 5842at5820           -            485   1.1e-12   45.8   5.8   1   4      0.55   7.1e+02   -3.0   0.3   235   269    28    63    13    94 0.59 | transcript=PVPAM_140028700_t1 | gene=PVPAM_140028700 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000014:1032698-1034485(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723368.1         -            595 5842at5820           -            485   1.1e-12   45.8   5.8   2   4      0.27   3.5e+02   -2.0   0.3   440   470   167   197   125   205 0.62 | transcript=PVPAM_140028700_t1 | gene=PVPAM_140028700 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000014:1032698-1034485(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723368.1         -            595 5842at5820           -            485   1.1e-12   45.8   5.8   3   4   4.2e-11   5.4e-08   30.4   0.0   133   192   307   368   295   376 0.80 | transcript=PVPAM_140028700_t1 | gene=PVPAM_140028700 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000014:1032698-1034485(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723368.1         -            595 5842at5820           -            485   1.1e-12   45.8   5.8   4   4   2.5e-09   3.2e-06   24.5   3.0   242   294   391   443   386   451 0.91 | transcript=PVPAM_140028700_t1 | gene=PVPAM_140028700 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain protein, putative | transcript_product=TBC domain protein, putative | location=CASCJQ010000014:1032698-1034485(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719512.1         -           1220 5842at5820           -            485     9e-08   29.6  12.1   1   4   1.6e-10   2.1e-07   28.4   1.2    97   191   254   356   247   358 0.80 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719512.1         -           1220 5842at5820           -            485     9e-08   29.6  12.1   2   4   1.2e-06    0.0016   15.6   3.9   231   297   351   417   340   425 0.93 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
