#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722895.1         -           1081 1887at5820           -            670         0 1091.4  61.7   1   5     7e-05     0.075    9.8   0.2     1    27     1    27     1    39 0.85 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1887at5820           -            670         0 1091.4  61.7   2   5   4.5e-68   4.9e-65  218.7   1.0    17   137   129   249   122   250 0.98 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1887at5820           -            670         0 1091.4  61.7   3   5   7.2e-47   7.8e-44  148.6   6.0   137   226   331   435   328   442 0.89 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1887at5820           -            670         0 1091.4  61.7   4   5  1.1e-122  1.2e-119  399.1  10.1   215   458   458   725   446   737 0.90 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1887at5820           -            670         0 1091.4  61.7   5   5  1.8e-103  1.9e-100  335.6  16.8   456   670   820  1048   814  1048 0.94 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1887at5820           -            670   6.3e-48  162.1  21.0   1   5    0.0019       2.1    5.1   0.1    18    45   110   137   107   157 0.84 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1887at5820           -            670   6.3e-48  162.1  21.0   2   5   5.9e-51   6.3e-48  162.1  21.0    52   389   260   623   256   629 0.81 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1887at5820           -            670   6.3e-48  162.1  21.0   3   5      0.48   5.1e+02   -2.8   1.7   397   456   682   744   671   749 0.65 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1887at5820           -            670   6.3e-48  162.1  21.0   4   5      0.13   1.4e+02   -1.0   2.0   232   289   839   897   821   904 0.73 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1887at5820           -            670   6.3e-48  162.1  21.0   5   5      0.42   4.5e+02   -2.6   1.2   201   241  1112  1153  1101  1157 0.85 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1887at5820           -            670   6.5e-48  162.1  21.0   1   5    0.0019       2.1    5.1   0.1    18    45   110   137   107   157 0.84 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
