#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   1  11  2.8e-206  9.1e-203  674.7  27.7     1   302     1   305     1   311 0.98 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   2  11     4e-15   1.3e-11   41.7   0.4   302   345   368   417   336   421 0.82 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   3  11  4.3e-157  1.4e-153  511.8  19.5   344   568   477   701   474   717 0.97 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   4  11   7.9e-09   2.5e-05   20.8   1.9   565   612   749   800   744   814 0.82 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   5  11   3.6e-06     0.012   12.0   1.0   593   630   831   868   819   884 0.87 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   6  11     3e-08   9.8e-05   18.9   4.4   632   686   935   997   892  1037 0.70 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   7  11   1.1e-21   3.6e-18   63.4   6.0   662   767  1201  1331  1113  1352 0.76 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   8  11   3.7e-28   1.2e-24   84.8   5.9   773   843  1622  1691  1586  1709 0.77 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   9  11   5.8e-07    0.0019   14.7   0.0   854   895  1759  1803  1707  1818 0.79 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8  10  11   3.1e-60   9.9e-57  191.1   9.2   881  1021  1821  1968  1810  1980 0.85 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8  11  11   7.4e-44   2.4e-40  136.8   0.1  1004  1125  2011  2146  2001  2146 0.85 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
