#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723605.1         -            638 5553at5820           -            506  5.4e-265  878.3  54.7   1   4   5.9e-06    0.0063   13.7   4.6     5    32    14    43     1    48 0.68 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 5553at5820           -            506  5.4e-265  878.3  54.7   2   4   2.1e-37   2.3e-34  117.5  15.5     2   135    48   193    47   197 0.86 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 5553at5820           -            506  5.4e-265  878.3  54.7   3   4   2.7e-20   2.9e-17   61.0   0.2   135   179   237   291   230   301 0.91 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 5553at5820           -            506  5.4e-265  878.3  54.7   4   4  1.9e-214  2.1e-211  701.5  14.1   177   506   309   638   303   638 0.99 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 5553at5820           -            506   1.2e-09   35.9   7.3   1   3      0.28     3e+02   -1.7   0.0   335   360    26    54    17    60 0.59 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 5553at5820           -            506   1.2e-09   35.9   7.3   2   3     8e-11   8.6e-08   29.8   0.1   287   359    69   144    60   154 0.74 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 5553at5820           -            506   1.2e-09   35.9   7.3   3   3   0.00015      0.17    9.0   1.3   303   443   175   319   169   322 0.67 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 5553at5820           -            506   3.5e-07   27.8   8.3   1   2   4.4e-06    0.0047   14.2   3.4   272   363    73   156    33   171 0.73 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 5553at5820           -            506   3.5e-07   27.8   8.3   2   2   1.5e-06    0.0017   15.6   0.2   303   436   179   319   172   323 0.74 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 5553at5820           -            506     4e-05   21.0  13.0   1   2    0.0056         6    3.9   6.8   233   376    85   234    70   254 0.70 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 5553at5820           -            506     4e-05   21.0  13.0   2   2   7.9e-08   8.5e-05   19.9   0.3   232   281   292   342   269   356 0.83 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 5553at5820           -            506   0.00048   17.4   1.5   1   1   6.9e-07   0.00074   16.8   1.5   297   380   303   391   277   423 0.71 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 5553at5820           -            506    0.0045   14.2   0.1   1   2      0.27   2.9e+02   -1.7   0.0   317   361   194   240   170   252 0.79 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
