#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   1  18   7.8e-22     5e-18   63.9   3.7     1    48     1    60     1    84 0.84 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   2  18   2.6e-06     0.017   12.7   0.4    45    67   113   135   101   139 0.85 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   3  18   3.2e-07     0.002   15.8   1.0    46    69   140   163   135   166 0.90 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   4  18   1.6e-08    0.0001   20.0   1.6    47    69   167   189   163   192 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   5  18   4.1e-08   0.00027   18.7   1.1    47    69   193   215   189   218 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   6  18   2.2e-08   0.00014   19.6   2.0    47    69   219   241   215   243 0.92 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   7  18   8.6e-08   0.00055   17.6   0.7    47    69   245   267   241   270 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   8  18   2.1e-07    0.0013   16.4   1.0    47    69   258   280   255   283 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   9  18   4.4e-08   0.00028   18.6   2.0    47    69   271   293   267   296 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  10  18   5.1e-08   0.00033   18.4   2.4    47    69   284   306   281   309 0.92 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  11  18     4e-08   0.00026   18.7   2.1    47    69   297   319   293   322 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
