#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720055.1         -            567 5489at5820           -            451  7.7e-239  791.4  25.5   1   3     1e-13   1.3e-10   39.1   0.0    30    79    39    88    10   124 0.74 | transcript=PVPAM_080027700_t1 | gene=PVPAM_080027700 | organism=Plasmodium_vivax_PAM | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=CASCJQ010000008:1044256-1045959(-) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720055.1         -            567 5489at5820           -            451  7.7e-239  791.4  25.5   2   3     0.005       6.4    3.8   0.0    59   114   136   197   127   203 0.62 | transcript=PVPAM_080027700_t1 | gene=PVPAM_080027700 | organism=Plasmodium_vivax_PAM | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=CASCJQ010000008:1044256-1045959(-) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720055.1         -            567 5489at5820           -            451  7.7e-239  791.4  25.5   3   3  2.4e-229  3.2e-226  749.8  20.3   116   449   233   567   228   567 0.99 | transcript=PVPAM_080027700_t1 | gene=PVPAM_080027700 | organism=Plasmodium_vivax_PAM | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=CASCJQ010000008:1044256-1045959(-) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723668.1         -            539 5489at5820           -            451   4.6e-28   96.6  14.2   1   1   4.8e-31   6.2e-28   96.2  14.2   157   369   232   443   175   515 0.81 | transcript=PVPAM_140059200_t1 | gene=PVPAM_140059200 | organism=Plasmodium_vivax_PAM | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=CASCJQ010000014:2338453-2341335(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723612.1         -            903 5489at5820           -            451   7.2e-09   33.3   8.2   1   2       1.1   1.4e+03   -3.9  12.8    36   120    51   133    25   144 0.49 | transcript=PVPAM_140053600_t1 | gene=PVPAM_140053600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2088870-2091581(-) | protein_length=903 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723612.1         -            903 5489at5820           -            451   7.2e-09   33.3   8.2   2   2   5.6e-12   7.2e-09   33.3   8.2   116   300   348   527   325   532 0.86 | transcript=PVPAM_140053600_t1 | gene=PVPAM_140053600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2088870-2091581(-) | protein_length=903 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722030.1         -            808 5489at5820           -            451   1.1e-07   29.4   2.1   1   2   2.1e-10   2.7e-07   28.1   0.4   152   300   417   558   394   563 0.81 | transcript=PVPAM_120026900_t1 | gene=PVPAM_120026900 | organism=Plasmodium_vivax_PAM | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=CASCJQ010000012:861489-863915(+) | protein_length=808 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722030.1         -            808 5489at5820           -            451   1.1e-07   29.4   2.1   2   2     0.058        75    0.3   0.1   355   372   574   591   567   638 0.77 | transcript=PVPAM_120026900_t1 | gene=PVPAM_120026900 | organism=Plasmodium_vivax_PAM | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=CASCJQ010000012:861489-863915(+) | protein_length=808 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721144.1         -            573 5489at5820           -            451       1.3    6.1  10.2   1   1    0.0003      0.39    7.8   7.0    61   116    12    69     4   112 0.75 | transcript=PVPAM_100041200_t1 | gene=PVPAM_100041200 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000010:1548536-1550428(-) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5489at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5489at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5489at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:54 2026
# [ok]
