#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   1  12  5.8e-169  3.8e-165  550.2  30.7     1   258     1   258     1   267 0.99 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   2  12  5.8e-120  3.8e-116  387.7  34.4   255   509   597   864   593   872 0.95 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   3  12   1.8e-52   1.2e-48  163.9   9.5   509   610  1050  1152  1041  1155 0.94 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   4  12   3.4e-84   2.2e-80  269.1  23.6   613   769  1221  1377  1210  1381 0.97 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   5  12   4.2e-58   2.7e-54  182.6   4.4   768   868  1430  1530  1422  1533 0.97 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   6  12  3.2e-149  2.1e-145  484.7  49.4   866  1172  1601  1932  1593  1942 0.92 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   7  12   3.2e-29   2.1e-25   86.8   0.7  1172  1242  2446  2516  2433  2535 0.83 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   8  12  1.1e-135  6.8e-132  439.9  40.1  1231  1478  2650  2908  2634  2915 0.93 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   9  12  3.8e-174  2.4e-170  567.4  47.9  1476  1749  2959  3232  2957  3241 0.98 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5  10  12   1.4e-10   9.2e-07   24.9   0.0  1741  1795  3314  3384  3310  3392 0.77 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5  11  12   1.4e-22   9.2e-19   64.8  14.5  1794  1865  3478  3558  3473  3564 0.83 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
