#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720663.1         -            690 3953at5820           -            537  2.1e-271  899.9  74.8   1   4   4.5e-07   0.00074   16.9   0.1     1    18     1    18     1    44 0.77 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720663.1         -            690 3953at5820           -            537  2.1e-271  899.9  74.8   2   4   4.9e-24   7.9e-21   72.9   4.5     8    95    76   176    69   184 0.76 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720663.1         -            690 3953at5820           -            537  2.1e-271  899.9  74.8   3   4   2.2e-79   3.5e-76  255.6  12.7    93   236   197   341   195   348 0.98 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720663.1         -            690 3953at5820           -            537  2.1e-271  899.9  74.8   4   4    2e-174  3.2e-171  569.3  37.4   233   537   364   688   350   688 0.93 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 3953at5820           -            537     4e-08   31.0   0.1   1   2   7.4e-05      0.12    9.6   0.0   345   405    12    71     1    81 0.87 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 3953at5820           -            537     4e-08   31.0   0.1   2   2   5.4e-08   8.8e-05   20.0   0.1   345   405    85   144    73   147 0.90 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 3953at5820           -            537    0.0037   14.6   2.9   1   2   2.3e-06    0.0037   14.6   2.9   345   405    39    98    23   108 0.90 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 3953at5820           -            537    0.0037   14.6   2.9   2   2     0.011        18    2.4   0.6   346   405   113   171   100   177 0.85 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 3953at5820           -            537    0.0045   14.3  14.4   1   2   1.2e-05      0.02   12.2   1.0   347   403    65   120    57   132 0.86 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 3953at5820           -            537    0.0045   14.3  14.4   2   2   0.00077       1.3    6.3   6.8   336   407   167   238   123   249 0.75 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3953at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3953at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3953at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:23 2026
# [ok]
