#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720120.1         -           2380 279at5820            -           1909         0 4106.8  82.8   1   5         0         0 1485.6   4.0     1   621     1   633     1   693 0.96 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 279at5820            -           1909         0 4106.8  82.8   2   5  6.1e-280  9.8e-277  920.1   9.2   632  1033   705  1120   698  1125 0.99 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 279at5820            -           1909         0 4106.8  82.8   3   5   0.00081       1.3    4.5   0.0  1030  1051  1178  1199  1171  1214 0.86 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 279at5820            -           1909         0 4106.8  82.8   4   5    5e-196  8.1e-193  641.8  14.7  1056  1372  1252  1584  1239  1599 0.92 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 279at5820            -           1909         0 4106.8  82.8   5   5         0         0 1072.5  29.8  1360  1909  1760  2380  1737  2380 0.93 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 279at5820            -           1909  7.5e-228  758.0  40.8   1   5   3.8e-21   6.1e-18   62.0  12.0    17   190    57   240    50   251 0.79 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 279at5820            -           1909  7.5e-228  758.0  40.8   2   5   4.3e-42   6.9e-39  131.4   0.1   266   443   265   445   239   450 0.92 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 279at5820            -           1909  7.5e-228  758.0  40.8   3   5  4.4e-128  7.2e-125  416.5   3.8   456   934   503   976   488   986 0.94 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 279at5820            -           1909  7.5e-228  758.0  40.8   4   5   2.5e-26   4.1e-23   79.1   0.1  1133  1230  1453  1548  1428  1599 0.88 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 279at5820            -           1909  7.5e-228  758.0  40.8   5   5   4.5e-28   7.3e-25   84.9   1.7  1424  1565  1792  1932  1777  1946 0.93 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 279at5820            -           1909  5.1e-141  470.1  21.2   1   6   3.6e-11   5.9e-08   28.9   1.4    17   120    12   119     5   154 0.79 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 279at5820            -           1909  5.1e-141  470.1  21.2   2   6   7.6e-50   1.2e-46  157.1   0.5   317   584   564   840   539   844 0.84 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 279at5820            -           1909  5.1e-141  470.1  21.2   3   6   1.4e-13   2.3e-10   36.9   0.0   591   726   922  1064   912  1078 0.79 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 279at5820            -           1909  5.1e-141  470.1  21.2   4   6   2.4e-45   3.9e-42  142.2   0.2   795   929  1556  1691  1526  1713 0.90 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 279at5820            -           1909  5.1e-141  470.1  21.2   5   6   6.5e-21     1e-17   61.2   0.0  1132  1196  1814  1876  1802  1922 0.86 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 279at5820            -           1909  5.1e-141  470.1  21.2   6   6   1.5e-18   2.4e-15   53.4   0.4  1419  1561  2547  2690  2525  2694 0.91 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
