#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721259.1         -            203 11829at5820          -            162     4e-97  321.0  14.9   1   1   2.1e-99   1.1e-96  319.5  14.9     1   162    25   203    25   203 0.96 | transcript=PVPAM_110016100_t1 | gene=PVPAM_110016100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000011:452607-453649(-) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 11829at5820          -            162   1.8e-11   42.5   0.8   1   1   3.8e-14   2.1e-11   42.3   0.8     4   109    19   119    16   167 0.81 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11829at5820          -            162   1.1e-10   39.9   0.1   1   1   2.5e-13   1.4e-10   39.6   0.1     2   118    17   127    15   157 0.82 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 11829at5820          -            162   7.1e-08   30.8   6.1   1   1   2.3e-10   1.2e-07   30.0   6.1     2   131    16   140    15   181 0.69 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 11829at5820          -            162     1e-07   30.3   0.0   1   1   2.4e-10   1.3e-07   30.0   0.0     3   113    21   127    19   157 0.79 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 11829at5820          -            162   0.00024   19.3   0.4   1   1   6.4e-07   0.00034   18.8   0.4     2   146    32   175    31   193 0.67 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 11829at5820          -            162   0.00052   18.2   0.5   1   1   1.7e-06    0.0009   17.5   0.3     3    97     9   104     7   121 0.80 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 11829at5820          -            162   0.00054   18.2   1.4   1   1   1.5e-06   0.00079   17.6   1.3     5   118    13   126     6   175 0.73 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723372.1         -            216 11829at5820          -            162   0.00061   18.0   0.2   1   1   1.6e-06   0.00084   17.6   0.2     3   114    12   123    10   174 0.77 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723803.1         -            261 11829at5820          -            162    0.0028   15.8   0.4   1   1   8.1e-06    0.0044   15.2   0.4     5   152    66   213    61   218 0.79 | transcript=PVPAM_140072600_t1 | gene=PVPAM_140072600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=CASCJQ010000014:2867218-2868732(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718582.1         -            229 11829at5820          -            162    0.0046   15.1   4.4   1   2   0.00037       0.2    9.8   0.4   118   148    84   114    57   127 0.78 | transcript=PVPAM_040032700_t1 | gene=PVPAM_040032700 | organism=Plasmodium_vivax_PAM | gene_product=ERCC1 nucleotide excision repair protein, putative | transcript_product=ERCC1 nucleotide excision repair protein, putative | location=CASCJQ010000004:1138651-1139340(-) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718582.1         -            229 11829at5820          -            162    0.0046   15.1   4.4   2   2    0.0035       1.9    6.7   0.2    92   134   166   211   134   224 0.70 | transcript=PVPAM_040032700_t1 | gene=PVPAM_040032700 | organism=Plasmodium_vivax_PAM | gene_product=ERCC1 nucleotide excision repair protein, putative | transcript_product=ERCC1 nucleotide excision repair protein, putative | location=CASCJQ010000004:1138651-1139340(-) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 11829at5820          -            162    0.0051   15.0   0.1   1   1   1.8e-05    0.0095   14.1   0.1     3    88    13    94    11   130 0.75 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11829at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:48 2026
# [ok]
