#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720519.1         -            730 4434at5820           -            535  2.9e-289  958.5  23.8   1   3   1.9e-30     2e-27   94.4   0.8     1    61     1    61     1    73 0.91 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 4434at5820           -            535  2.9e-289  958.5  23.8   2   3  2.2e-208  2.3e-205  681.6  14.1    53   431    95   507    84   519 0.94 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 4434at5820           -            535  2.9e-289  958.5  23.8   3   3   9.1e-59   9.8e-56  187.8   0.0   426   530   552   658   548   666 0.93 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4434at5820           -            535   2.4e-10   38.0   9.2   1   3       1.5   1.6e+03   -4.3   0.1    19    56   180   217   176   226 0.71 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4434at5820           -            535   2.4e-10   38.0   9.2   2   3      0.66   7.1e+02   -3.1   4.0   218   322   295   400   267   424 0.75 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4434at5820           -            535   2.4e-10   38.0   9.2   3   3   2.2e-13   2.4e-10   38.0   9.2   358   526   657   824   645   829 0.85 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722175.1         -            443 4434at5820           -            535   7.5e-10   36.4   0.2   1   1   1.2e-12   1.3e-09   35.6   0.2   467   530   338   402   335   405 0.87 | transcript=PVPAM_120041300_t1 | gene=PVPAM_120041300 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000012:1426294-1427794(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 4434at5820           -            535   6.8e-09   33.2   0.2   1   2         6   6.5e+03   -7.2   6.0   353   430   151   223   130   278 0.63 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 4434at5820           -            535   6.8e-09   33.2   0.2   2   2   6.3e-12   6.8e-09   33.2   0.2   471   522   861   912   857   924 0.88 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 4434at5820           -            535   2.5e-07   28.1   0.6   1   2     0.035        38    1.1   0.2   238   296    56   114    46   169 0.89 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 4434at5820           -            535   2.5e-07   28.1   0.6   2   2   2.3e-10   2.5e-07   28.1   0.6   418   530   325   439   211   443 0.82 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
