#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722437.1         -            188 14515at5820          -            111   6.6e-45  150.8   7.8   1   2   5.3e-12   8.6e-09   34.5   0.1     1    49     1    51     1    80 0.77 | transcript=PVPAM_120067400_t1 | gene=PVPAM_120067400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2I9] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2I9] | location=CASCJQ010000012:2544923-2545489(-) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722437.1         -            188 14515at5820          -            111   6.6e-45  150.8   7.8   2   2   8.2e-38   1.3e-34  117.6   4.2    49   111   126   188   114   188 0.93 | transcript=PVPAM_120067400_t1 | gene=PVPAM_120067400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2I9] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2I9] | location=CASCJQ010000012:2544923-2545489(-) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719165.1         -           1601 14515at5820          -            111      0.15   11.2   6.2   1   2     0.069   1.1e+02    2.0   0.6    40    77   457   494   415   510 0.83 | transcript=PVPAM_060017200_t1 | gene=PVPAM_060017200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:503027-507832(-) | protein_length=1601 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719165.1         -           1601 14515at5820          -            111      0.15   11.2   6.2   2   2    0.0002      0.32   10.2   0.7    13    72  1295  1347  1287  1350 0.81 | transcript=PVPAM_060017200_t1 | gene=PVPAM_060017200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:503027-507832(-) | protein_length=1601 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723284.1         -           1097 14515at5820          -            111      0.25   10.5   4.1   1   3       0.8   1.3e+03   -1.4   0.0    13    61    36    79    29    87 0.59 | transcript=PVPAM_140020300_t1 | gene=PVPAM_140020300 | organism=Plasmodium_vivax_PAM | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=CASCJQ010000014:680353-683646(+) | protein_length=1097 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723284.1         -           1097 14515at5820          -            111      0.25   10.5   4.1   2   3       1.9     3e+03   -2.6   0.1    68    91   598   621   572   641 0.69 | transcript=PVPAM_140020300_t1 | gene=PVPAM_140020300 | organism=Plasmodium_vivax_PAM | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=CASCJQ010000014:680353-683646(+) | protein_length=1097 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723284.1         -           1097 14515at5820          -            111      0.25   10.5   4.1   3   3   0.00017      0.28   10.4   0.4    42    83   949   994   940  1003 0.75 | transcript=PVPAM_140020300_t1 | gene=PVPAM_140020300 | organism=Plasmodium_vivax_PAM | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=CASCJQ010000014:680353-683646(+) | protein_length=1097 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723832.1         -            709 14515at5820          -            111       3.8    6.7   9.5   1   2      0.14   2.3e+02    1.0   1.7    11    62   191   242   183   251 0.84 | transcript=PVPAM_140075500_t1 | gene=PVPAM_140075500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2955248-2957810(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723832.1         -            709 14515at5820          -            111       3.8    6.7   9.5   2   2    0.0004      0.65    9.2   1.1     7    64   347   404   342   411 0.89 | transcript=PVPAM_140075500_t1 | gene=PVPAM_140075500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2955248-2957810(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14515at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14515at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14515at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:38 2026
# [ok]
