#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722241.1         -            350 10858at5820          -            253  1.9e-122  406.2  60.0   1   3   6.2e-09     8e-06   24.1   5.7     1    38     1    41     1    51 0.70 | transcript=PVPAM_120047800_t1 | gene=PVPAM_120047800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger CCCH domain-containing protein, putative | transcript_product=zinc finger CCCH domain-containing protein, putative | location=CASCJQ010000012:1728049-1729478(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722241.1         -            350 10858at5820          -            253  1.9e-122  406.2  60.0   2   3  4.4e-107  5.7e-104  345.7  37.6    24   250    50   290    38   292 0.87 | transcript=PVPAM_120047800_t1 | gene=PVPAM_120047800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger CCCH domain-containing protein, putative | transcript_product=zinc finger CCCH domain-containing protein, putative | location=CASCJQ010000012:1728049-1729478(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722241.1         -            350 10858at5820          -            253  1.9e-122  406.2  60.0   3   3   6.8e-16   8.8e-13   46.9   3.9   211   252   308   349   298   350 0.87 | transcript=PVPAM_120047800_t1 | gene=PVPAM_120047800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger CCCH domain-containing protein, putative | transcript_product=zinc finger CCCH domain-containing protein, putative | location=CASCJQ010000012:1728049-1729478(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 10858at5820          -            253   4.3e-08   31.5  12.5   1   2   1.8e-08   2.3e-05   22.6   5.3    33    96   475   542   464   548 0.82 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 10858at5820          -            253   4.3e-08   31.5  12.5   2   2     2e-05     0.026   12.6   0.6    40    90   551   605   544   613 0.81 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 10858at5820          -            253   5.7e-07   27.8  11.1   1   2   5.2e-09   6.7e-06   24.3   5.7    44    98     8    66     2    70 0.83 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 10858at5820          -            253   5.7e-07   27.8  11.1   2   2    0.0014       1.8    6.5   0.2    43    73    73   102    65   117 0.80 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 10858at5820          -            253   0.00012   20.2   8.5   1   3   9.4e-08   0.00012   20.2   8.5    24    98     5    84     1    93 0.77 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 10858at5820          -            253   0.00012   20.2   8.5   2   3   3.8e-05     0.049   11.7   1.5    45    72    97   124    83   134 0.81 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 10858at5820          -            253   0.00012   20.2   8.5   3   3      0.57   7.3e+02   -2.0   1.8   212   244   327   362   320   365 0.62 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 10858at5820          -            253    0.0014   16.8   5.9   1   2   2.5e-06    0.0033   15.5   1.3    44    97     4    62     2    66 0.79 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 10858at5820          -            253    0.0014   16.8   5.9   2   2     0.021        27    2.7   0.2    46    70    74    98    63   108 0.83 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10858at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:32 2026
# [ok]
