#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718196.1         -            855 3221at5820           -            511  1.8e-286  949.4  34.3   1   5  2.2e-109  1.8e-106  355.6   1.6     1   164     1   169     1   173 0.97 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 3221at5820           -            511  1.8e-286  949.4  34.3   2   5     2e-07   0.00016   19.2   0.1   164   190   325   360   318   365 0.78 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 3221at5820           -            511  1.8e-286  949.4  34.3   3   5   3.3e-81   2.7e-78  262.6   4.8   190   338   383   545   376   550 0.93 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 3221at5820           -            511  1.8e-286  949.4  34.3   4   5   2.7e-23   2.2e-20   71.6   0.3   334   390   602   660   594   665 0.89 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 3221at5820           -            511  1.8e-286  949.4  34.3   5   5   8.7e-80     7e-77  257.9   2.8   385   511   726   852   717   852 0.98 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 3221at5820           -            511   1.4e-22   78.8   0.1   1   3   6.8e-06    0.0055   14.2   0.0    11   146     7   142     3   152 0.75 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 3221at5820           -            511   1.4e-22   78.8   0.1   2   3   4.1e-07   0.00033   18.2   0.1   248   330   154   238   146   243 0.75 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 3221at5820           -            511   1.4e-22   78.8   0.1   3   3     1e-14   8.5e-12   43.2   0.0   390   510   247   366   240   367 0.94 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 3221at5820           -            511   1.4e-22   78.8   0.7   1   3   6.7e-05     0.054   10.9   0.0    12   148    14   149     9   160 0.71 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 3221at5820           -            511   1.4e-22   78.8   0.7   2   3   9.3e-07   0.00075   17.0   0.2   258   326   169   239   152   243 0.75 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 3221at5820           -            511   1.4e-22   78.8   0.7   3   3   5.1e-16   4.1e-13   47.6   0.0   394   504   254   363   249   372 0.88 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
