#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719236.1         -            272 10294at5820          -            246  8.1e-140  463.0  26.0   1   1  1.6e-142  9.2e-140  462.8  26.0     1   246    10   270    10   270 0.96 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 10294at5820          -            246   1.5e-07   29.8   4.7   1   1   4.7e-10   2.7e-07   28.9   4.7   193   239  1145  1191  1129  1193 0.91 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 10294at5820          -            246   2.9e-06   25.6   2.8   1   3     0.031        18    3.3  10.3    47   172    15   155     7   156 0.57 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 10294at5820          -            246   2.9e-06   25.6   2.8   2   3       1.4   8.1e+02   -2.1  22.9    18   145    75   205    64   219 0.65 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 10294at5820          -            246   2.9e-06   25.6   2.8   3   3     5e-09   2.9e-06   25.6   2.8   188   239   229   280   218   283 0.88 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 10294at5820          -            246   6.3e-05   21.2   3.6   1   1   1.1e-07   6.3e-05   21.2   3.6   192   241   343   394   338   397 0.79 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722913.1         -            520 10294at5820          -            246   0.00069   17.8  11.7   1   2       8.2   4.8e+03   -4.6  11.3    77   143    16    77     2    95 0.57 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722913.1         -            520 10294at5820          -            246   0.00069   17.8  11.7   2   2   1.2e-06   0.00069   17.8  11.7   190   242   292   343   199   345 0.61 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 10294at5820          -            246   0.00075   17.7   1.6   1   1     2e-06    0.0012   17.0   1.6   193   237   368   416   351   422 0.78 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 10294at5820          -            246   0.00084   17.5   5.8   1   2       4.5   2.7e+03   -3.8   1.0    72   120   327   375   303   422 0.53 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 10294at5820          -            246   0.00084   17.5   5.8   2   2   1.4e-06   0.00084   17.5   5.8   193   237   561   605   548   609 0.89 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
