#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717985.1         -            529 6234at5820           -            412  1.6e-228  757.3  24.0   1   3   2.2e-33   2.4e-30  104.6   0.1     1    72     1    73     1    80 0.92 | transcript=PVPAM_020021700_t1 | gene=PVPAM_020021700 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000002:720183-721974(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717985.1         -            529 6234at5820           -            412  1.6e-228  757.3  24.0   2   3   5.5e-94     6e-91  304.2   3.0    74   218   134   278   113   285 0.95 | transcript=PVPAM_020021700_t1 | gene=PVPAM_020021700 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000002:720183-721974(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717985.1         -            529 6234at5820           -            412  1.6e-228  757.3  24.0   3   3  7.3e-110  7.9e-107  356.5   9.4   214   412   331   529   326   529 0.98 | transcript=PVPAM_020021700_t1 | gene=PVPAM_020021700 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000002:720183-721974(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718142.1         -            414 6234at5820           -            412   3.4e-07   28.3   6.5   1   1   1.3e-08   1.4e-05   23.0   6.5   140   356   146   360   100   394 0.68 | transcript=PVPAM_030013800_t1 | gene=PVPAM_030013800 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000003:396964-399113(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 6234at5820           -            412     2e-06   25.8   0.5   1   3      0.16   1.7e+02   -0.4   0.1    97   121   128   152   121   181 0.87 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 6234at5820           -            412     2e-06   25.8   0.5   2   3   6.5e-05      0.07   10.8   0.0   160   218   267   324   255   340 0.83 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 6234at5820           -            412     2e-06   25.8   0.5   3   3   4.6e-05     0.049   11.3   0.0   314   378   475   537   456   552 0.77 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 6234at5820           -            412   0.00091   17.0   0.0   1   1   2.1e-05     0.023   12.4   0.0   242   341   209   319    54   332 0.76 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 6234at5820           -            412    0.0049   14.6   0.0   1   1   5.7e-05     0.062   11.0   0.0    73   343    57   321    30   351 0.68 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 6234at5820           -            412     0.062   11.0   0.1   1   2     0.018        19    2.8   0.0   164   215   188   239   155   245 0.86 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 6234at5820           -            412     0.062   11.0   0.1   2   2     0.002       2.2    5.9   0.0   278   383   363   468   347   476 0.75 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
