#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720182.1         -            742 6388at5820           -            540    4e-276  915.3  25.8   1   5   1.6e-21     1e-18   65.8   0.0     5    53    10    58     6    62 0.94 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 6388at5820           -            540    4e-276  915.3  25.8   2   5   5.4e-07   0.00035   17.8   0.0    58    84    89   115    82   122 0.87 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 6388at5820           -            540    4e-276  915.3  25.8   3   5   1.3e-11   8.1e-09   33.1   0.0    84   112   171   199   167   226 0.89 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 6388at5820           -            540    4e-276  915.3  25.8   4   5   7.6e-40   4.9e-37  126.2   0.2   110   204   236   334   235   342 0.93 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 6388at5820           -            540    4e-276  915.3  25.8   5   5    3e-204  1.9e-201  668.8  22.1   204   540   405   742   401   742 1.00 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 6388at5820           -            540   4.2e-05   20.8   3.5   1   2      0.54   3.5e+02   -2.0   0.3   175   193   239   257   213   262 0.77 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 6388at5820           -            540   4.2e-05   20.8   3.5   2   2   6.4e-08   4.2e-05   20.8   3.5   460   536   530   607   515   608 0.76 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 6388at5820           -            540   0.00011   19.4   3.7   1   3        10   6.5e+03   -6.7   7.5   239   303    67   127    53   151 0.63 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 6388at5820           -            540   0.00011   19.4   3.7   2   3        10   6.5e+03  -10.6  11.0   343   363   138   158   103   182 0.52 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 6388at5820           -            540   0.00011   19.4   3.7   3   3   1.7e-07   0.00011   19.4   3.7   482   536   337   392   328   395 0.82 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 6388at5820           -            540   0.00017   18.8   0.9   1   2        10   6.5e+03   -6.7   9.9   358   464    65   172    19   203 0.62 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 6388at5820           -            540   0.00017   18.8   0.9   2   2   2.6e-07   0.00017   18.8   0.9   489   534   234   278   223   283 0.85 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 6388at5820           -            540    0.0003   18.0   6.5   1   2       3.3   2.1e+03   -4.6   0.8   224   273   255   305   217   308 0.60 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 6388at5820           -            540    0.0003   18.0   6.5   2   2   4.6e-07    0.0003   18.0   6.5   480   539  1136  1194  1127  1194 0.89 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 6388at5820           -            540   0.00055   17.1   1.8   1   2       0.7   4.5e+02   -2.4   0.2   193   227    15    49     4    56 0.75 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 6388at5820           -            540   0.00055   17.1   1.8   2   2   8.5e-07   0.00055   17.1   1.8   487   537   366   419   353   421 0.89 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 6388at5820           -            540     0.021   11.9   5.0   1   1   3.4e-05     0.022   11.9   5.0   508   534    52    79    16    82 0.84 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 6388at5820           -            540     0.045   10.8   2.9   1   1   0.00011     0.071   10.2   2.9   488   535   361   404   347   408 0.85 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 6388at5820           -            540     0.061   10.4  19.3   1   1   0.00014     0.088    9.9  19.3   353   536    88   263    46   266 0.74 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 6388at5820           -            540       5.8    3.9  32.1   1   3     1e-05    0.0067   13.6  11.2   488   535     4    49     2    54 0.84 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 6388at5820           -            540       5.8    3.9  32.1   2   3      0.16   1.1e+02   -0.3   4.1   136   205   105   173    91   184 0.64 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 6388at5820           -            540       5.8    3.9  32.1   3   3     0.037        24    1.8   1.3   117   191   189   258   181   279 0.74 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6388at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6388at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6388at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:16 2026
# [ok]
