#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   1   8   3.5e-31   1.1e-27   95.1   7.8     1    78     1    79     1   145 0.80 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   2   8      0.11   3.6e+02   -2.6  11.7    67   161   212   313   197   329 0.64 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   3   8   2.4e-09   7.7e-06   22.8  20.3   112   186   370   462   334   562 0.55 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   4   8   6.9e-11   2.2e-07   27.9   0.3   182   217   595   630   588   665 0.84 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   5   8   1.7e-09   5.6e-06   23.3  17.2   154   260   786   887   721   921 0.73 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   6   8     0.032     1e+02   -0.8   1.6   259   300   989  1030   943  1042 0.79 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   7   8   5.3e-22   1.7e-18   64.7  24.7   292   386  1164  1276  1052  1286 0.69 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 1418at5820           -            872         0 1178.3 183.8   8   8  6.7e-300  2.2e-296  984.1  47.2   374   872  1418  1930  1367  1930 0.91 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721307.1         -            661 1418at5820           -            872   1.9e-13   48.0   0.5   1   2   5.9e-17   1.9e-13   48.0   0.5   407   545   352   496   338   512 0.84 | transcript=PVPAM_110021000_t1 | gene=PVPAM_110021000 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=CASCJQ010000011:679511-681496(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721307.1         -            661 1418at5820           -            872   1.9e-13   48.0   0.5   2   2     0.018        59    0.0   3.0   286   358   584   654   576   660 0.68 | transcript=PVPAM_110021000_t1 | gene=PVPAM_110021000 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=CASCJQ010000011:679511-681496(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1418at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:45 2026
# [ok]
