#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718495.1         -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   1   3   3.7e-69   4.7e-67  225.5   9.8     4   131     9   141     4   157 0.93 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   2   3     2e-07   2.6e-05   21.9   0.8   125   152   220   248   214   261 0.85 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   3   3  1.2e-180  1.6e-178  593.1   9.6   153   483   643  1022   620  1022 0.91 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721866.1         -           1683 2944at5820           -            483   7.9e-29   99.4  16.1   1   3     0.012       1.5    6.2   0.9    10    44   466   500   459   507 0.87 | transcript=PVPAM_120010000_t1 | gene=PVPAM_120010000 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000012:196742-201793(-) | protein_length=1683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721866.1         -           1683 2944at5820           -            483   7.9e-29   99.4  16.1   2   3   3.6e-09   4.6e-07   27.7   4.6   159   298  1125  1272  1090  1283 0.70 | transcript=PVPAM_120010000_t1 | gene=PVPAM_120010000 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000012:196742-201793(-) | protein_length=1683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721866.1         -           1683 2944at5820           -            483   7.9e-29   99.4  16.1   3   3   1.6e-22   2.1e-20   71.7   0.1   314   441  1472  1611  1417  1619 0.79 | transcript=PVPAM_120010000_t1 | gene=PVPAM_120010000 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000012:196742-201793(-) | protein_length=1683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 2944at5820           -            483   1.3e-26   92.1   1.5   1   2       8.4   1.1e+03   -3.2   0.2     6    35   130   159   126   169 0.77 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 2944at5820           -            483   1.3e-26   92.1   1.5   2   2     1e-28   1.3e-26   92.1   1.5   253   443  1506  1708  1486  1727 0.79 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717807.1         -            721 2944at5820           -            483   1.9e-23   81.7   1.6   1   1   2.2e-25   2.7e-23   81.2   1.6   245   452   452   670   440   696 0.81 | transcript=PVPAM_010032100_t1 | gene=PVPAM_010032100 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000001:1221835-1224854(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 2944at5820           -            483   3.2e-22   77.6   7.8   1   2   2.5e-24   3.2e-22   77.6   7.8   246   441   477   683   457   699 0.83 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 2944at5820           -            483   3.2e-22   77.6   7.8   2   2         4   5.1e+02   -2.2   0.9   213   253   776   817   739   820 0.76 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
