#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719758.1         -            845 3532at5820           -            596  7.2e-276  915.2  75.0   1   4   3.9e-14   3.1e-11   41.3   5.2     1    38     1    39     1    42 0.93 | transcript=PVPAM_070037200_t1 | gene=PVPAM_070037200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000007:1364224-1366761(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719758.1         -            845 3532at5820           -            596  7.2e-276  915.2  75.0   2   4   4.9e-58     4e-55  186.2   0.7    30   130   113   213    96   218 0.94 | transcript=PVPAM_070037200_t1 | gene=PVPAM_070037200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000007:1364224-1366761(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719758.1         -            845 3532at5820           -            596  7.2e-276  915.2  75.0   3   4  2.3e-132  1.9e-129  431.7  28.0   128   413   243   576   235   581 0.91 | transcript=PVPAM_070037200_t1 | gene=PVPAM_070037200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000007:1364224-1366761(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719758.1         -            845 3532at5820           -            596  7.2e-276  915.2  75.0   4   4   4.9e-81   3.9e-78  262.2  18.6   403   596   605   842   596   842 0.85 | transcript=PVPAM_070037200_t1 | gene=PVPAM_070037200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000007:1364224-1366761(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 3532at5820           -            596   4.5e-21   73.8   1.2   1   3   3.2e-16   2.6e-13   48.1   0.5    38   107   100   177    71   185 0.72 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 3532at5820           -            596   4.5e-21   73.8   1.2   2   3     9e-09   7.3e-06   23.5   0.0   152   241   189   284   182   308 0.82 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 3532at5820           -            596   4.5e-21   73.8   1.2   3   3       1.1   8.5e+02   -3.1   0.1   151   504   443   488   405   501 0.45 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 3532at5820           -            596   6.2e-21   73.3   0.1   1   2   1.9e-13   1.5e-10   39.0   0.0    46   107     7    73     4    81 0.89 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 3532at5820           -            596   6.2e-21   73.3   0.1   2   2     2e-11   1.6e-08   32.3   0.0   156   240    89   177    84   195 0.84 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 3532at5820           -            596   6.2e-21   73.3   0.1   1   2   1.9e-13   1.5e-10   39.0   0.0    46   107     7    73     4    81 0.89 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 3532at5820           -            596   6.2e-21   73.3   0.1   2   2     2e-11   1.6e-08   32.3   0.0   156   240    89   177    84   195 0.84 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 3532at5820           -            596   6.2e-09   33.7   0.1   1   2   0.00022      0.18    9.0   0.0    47    86    73   112    69   134 0.91 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 3532at5820           -            596   6.2e-09   33.7   0.1   2   2   2.1e-08   1.7e-05   22.3   0.0   157   225   140   205   133   228 0.84 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 3532at5820           -            596   2.5e-06   25.1   0.0   1   2      0.01       8.4    3.5   0.2    45    66    34    55     4    60 0.88 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 3532at5820           -            596   2.5e-06   25.1   0.0   2   2   1.7e-07   0.00014   19.3   0.0    99   245    65   211    62   242 0.75 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 3532at5820           -            596   2.4e-05   21.8   0.6   1   3    0.0092       7.4    3.7   0.0    47    66     4    23     1    40 0.83 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 3532at5820           -            596   2.4e-05   21.8   0.6   2   3    0.0002      0.16    9.2   0.1   154   221   122   185   118   198 0.87 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 3532at5820           -            596   2.4e-05   21.8   0.6   3   3    0.0029       2.3    5.4   0.0   360   393   376   409   372   447 0.79 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 3532at5820           -            596    0.0015   15.9   5.2   1   3   0.00059      0.48    7.6   0.0    40    73    19    52    11    81 0.72 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 3532at5820           -            596    0.0015   15.9   5.2   2   3   0.00043      0.35    8.1   0.2   153   187    91   125    76   133 0.88 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 3532at5820           -            596    0.0015   15.9   5.2   3   3       0.2   1.6e+02   -0.7   0.0   307   349  1000  1041   982  1072 0.79 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
