#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721934.1         -            817 2337at5820           -            732         0 1514.2  15.2   1   1         0         0 1511.5  15.2     1   732     1   813     1   813 0.95 | transcript=PVPAM_120016800_t1 | gene=PVPAM_120016800 | organism=Plasmodium_vivax_PAM | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=CASCJQ010000012:524285-527026(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721099.1         -            800 2337at5820           -            732  2.1e-124  414.9  32.7   1   1  8.2e-127  8.8e-124  412.8  32.7    22   720    16   769     8   776 0.85 | transcript=PVPAM_100036700_t1 | gene=PVPAM_100036700 | organism=Plasmodium_vivax_PAM | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=CASCJQ010000010:1362733-1366496(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 2337at5820           -            732   3.7e-90  301.6   1.7   1   2   2.3e-43   2.4e-40  136.9   0.0    89   285    69   278    61   300 0.84 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 2337at5820           -            732   3.7e-90  301.6   1.7   2   2   2.6e-51   2.7e-48  163.2   0.7   301   668   376   770   354   777 0.83 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 2337at5820           -            732   4.6e-55  185.6  15.0   1   5   3.3e-16   3.6e-13   47.1   0.0    94   195   109   220    97   235 0.84 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 2337at5820           -            732   4.6e-55  185.6  15.0   2   5   2.9e-21   3.2e-18   63.8   0.0   193   282   324   413   316   435 0.89 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 2337at5820           -            732   4.6e-55  185.6  15.0   3   5      0.56     6e+02   -3.2   0.0   395   423   651   679   638   681 0.81 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 2337at5820           -            732   4.6e-55  185.6  15.0   4   5   3.4e-16   3.7e-13   47.1   3.9   417   569   730   905   726   931 0.74 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 2337at5820           -            732   4.6e-55  185.6  15.0   5   5   1.3e-11   1.4e-08   31.9   0.3   584   669  1017  1102  1008  1117 0.92 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 2337at5820           -            732   9.3e-42  141.6   4.8   1   1   3.1e-42   3.3e-39  133.2   4.8    97   665   113   809    96   815 0.70 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 2337at5820           -            732   3.8e-41  139.6  11.6   1   6   9.1e-19   9.8e-16   55.6   0.0    89   201    79   193    62   211 0.89 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 2337at5820           -            732   3.8e-41  139.6  11.6   2   6   9.7e-12     1e-08   32.4   0.0   209   267   286   344   258   349 0.87 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 2337at5820           -            732   3.8e-41  139.6  11.6   3   6      0.82   8.8e+02   -3.8   0.3   270   294   377   400   375   411 0.69 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 2337at5820           -            732   3.8e-41  139.6  11.6   4   6     0.025        27    1.2   0.0   301   341   536   580   529   590 0.79 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 2337at5820           -            732   3.8e-41  139.6  11.6   5   6   2.8e-16     3e-13   47.4   0.6   398   570   668   876   654   887 0.74 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 2337at5820           -            732   3.8e-41  139.6  11.6   6   6    0.0011       1.2    5.7   0.0   596   624   928   956   916   966 0.91 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2337at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2337at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2337at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
