#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722014.1         -            456 9816at5820           -            332  1.8e-155  515.7  73.0   1   3  5.7e-140  4.1e-137  455.4  59.8     1   268     1   291     1   294 0.93 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 9816at5820           -            332  1.8e-155  515.7  73.0   2   3   2.4e-18   1.7e-15   55.6   0.6   265   317   332   389   328   400 0.83 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 9816at5820           -            332  1.8e-155  515.7  73.0   3   3    0.0004      0.29    8.9   0.4   308   332   431   455   423   455 0.78 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722913.1         -            520 9816at5820           -            332   6.2e-07   27.5   2.8   1   1   1.7e-09   1.2e-06   26.5   2.8     5    52   296   342   292   385 0.81 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 9816at5820           -            332     3e-06   25.3   4.6   1   1   7.7e-09   5.6e-06   24.4   4.6     4    48   690   736   688   740 0.87 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 9816at5820           -            332   0.00027   18.8   3.1   1   1   6.4e-07   0.00046   18.1   3.1     6    47   369   415   365   440 0.86 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 9816at5820           -            332   0.00062   17.6   4.6   1   1   1.4e-06   0.00098   17.0   4.6     7    53   236   283   232   284 0.79 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 9816at5820           -            332    0.0098   13.7   4.2   1   1   1.9e-05     0.014   13.2   4.2     6    50   217   263   212   271 0.87 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 9816at5820           -            332     0.022   12.6   0.8   1   2         1   7.5e+02   -2.4   2.8     5    22    31    47    27    68 0.79 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 9816at5820           -            332     0.022   12.6   0.8   2   2     3e-05     0.022   12.6   0.8    23    46    74    97    62   102 0.88 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 9816at5820           -            332      0.17    9.6  11.4   1   1   0.00027       0.2    9.4  11.0    22    48    52    79    21    85 0.73 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
