#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722043.1         -           1164 1687at5820           -            883         0 1505.1  93.7   1   4   2.5e-44   4.1e-41  139.5   6.6     2   123    10   150     6   153 0.83 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1687at5820           -            883         0 1505.1  93.7   2   4  2.5e-217  4.1e-214  712.0  19.2   125   499   254   638   240   650 0.95 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1687at5820           -            883         0 1505.1  93.7   3   4   9.7e-32   1.6e-28   97.9   5.6   483   556   664   744   656   749 0.91 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1687at5820           -            883         0 1505.1  93.7   4   4    1e-175  1.6e-172  574.3  38.3   554   883   803  1158   795  1158 0.94 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1687at5820           -            883         0 1504.3  94.1   1   4   2.6e-44   4.2e-41  139.5   6.6     2   123    10   150     6   153 0.83 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1687at5820           -            883         0 1504.3  94.1   2   4  2.6e-217  4.3e-214  711.9  19.2   125   499   254   638   240   650 0.95 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1687at5820           -            883         0 1504.3  94.1   3   4   1.5e-31   2.5e-28   97.3   6.0   483   556   685   765   680   770 0.91 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1687at5820           -            883         0 1504.3  94.1   4   4  1.1e-175  1.7e-172  574.3  38.3   554   883   824  1179   816  1179 0.94 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1687at5820           -            883   1.2e-41  141.4  13.8   1   3     1e-08   1.6e-05   21.8   0.4    72   224   119   244   116   249 0.81 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1687at5820           -            883   1.2e-41  141.4  13.8   2   3   1.1e-17   1.8e-14   51.4   0.2   233   317   330   417   328   421 0.90 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1687at5820           -            883   1.2e-41  141.4  13.8   3   3   2.2e-24   3.5e-21   73.6   2.4   345   485   511   651   494   715 0.81 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1687at5820           -            883   1.4e-29  101.4  54.0   1   6     0.011        18    1.8   0.8   121   155   367   403   265   414 0.77 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1687at5820           -            883   1.4e-29  101.4  54.0   2   6   6.4e-18     1e-14   52.2  18.0   232   482   604   856   522   952 0.82 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1687at5820           -            883   1.4e-29  101.4  54.0   3   6         4   6.5e+03   -7.2   3.9   576   639  1252  1317  1223  1330 0.58 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1687at5820           -            883   1.4e-29  101.4  54.0   4   6   9.2e-17   1.5e-13   48.4   7.5   124   362  1406  1646  1400  1680 0.71 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1687at5820           -            883   1.4e-29  101.4  54.0   5   6   2.7e-12   4.4e-09   33.6  12.5   388   593  1761  1969  1740  1992 0.75 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1687at5820           -            883   1.4e-29  101.4  54.0   6   6      0.92   1.5e+03   -4.6   8.8    71   182  2220  2337  2165  2356 0.65 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1687at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1687at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1687at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:06 2026
# [ok]
