#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   1   7  1.2e-143  2.7e-140  468.0  62.1    13   536   125   878   122   880 0.77 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   2   7   8.7e-26   1.9e-22   77.1   2.3   536   631   930  1047   920  1051 0.77 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   3   7  2.1e-300  4.6e-297  987.9  81.9   631  1231  1125  1773  1121  1825 0.91 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   4   7   2.7e-46   5.7e-43  145.1   3.5  1222  1325  1827  1940  1815  1945 0.91 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   5   7         0         0 1448.2  63.6  1323  2027  2057  2771  2051  2787 0.98 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   6   7   6.7e-56   1.4e-52  177.0  17.8  2030  2148  2912  3032  2873  3056 0.89 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   7   7     4e-51   8.5e-48  161.2  19.3  2148  2276  3083  3222  3049  3222 0.88 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718186.1         -           2536 150at5820            -           2276  6.6e-257  854.7 182.5   1   4       1.1   2.4e+03   -6.2   4.4   243   316   249   334   242   362 0.63 | transcript=PVPAM_030018600_t1 | gene=PVPAM_030018600 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=CASCJQ010000003:600802-609492(-) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718186.1         -           2536 150at5820            -           2276  6.6e-257  854.7 182.5   2   4         3   6.5e+03   -9.3   9.1   474   631   540   705   513   776 0.58 | transcript=PVPAM_030018600_t1 | gene=PVPAM_030018600 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=CASCJQ010000003:600802-609492(-) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718186.1         -           2536 150at5820            -           2276  6.6e-257  854.7 182.5   3   4   1.5e-99   3.2e-96  321.8  90.3   634  1296   792  1502   786  1513 0.85 | transcript=PVPAM_030018600_t1 | gene=PVPAM_030018600 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=CASCJQ010000003:600802-609492(-) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718186.1         -           2536 150at5820            -           2276  6.6e-257  854.7 182.5   4   4  3.6e-168  7.7e-165  549.4  84.2  1353  2236  1517  2414  1504  2460 0.86 | transcript=PVPAM_030018600_t1 | gene=PVPAM_030018600 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=CASCJQ010000003:600802-609492(-) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
