#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720832.1         -            933 3692at5820           -            699         0 1029.4 149.7   1   3  5.1e-158  1.6e-154  514.6  48.0     1   306    26   365    26   372 0.92 | transcript=PVPAM_100009700_t1 | gene=PVPAM_100009700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:226244-229865(-) | protein_length=933 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720832.1         -            933 3692at5820           -            699         0 1029.4 149.7   2   3   1.6e-83   5.3e-80  268.4  77.2   309   541   412   702   394   707 0.87 | transcript=PVPAM_100009700_t1 | gene=PVPAM_100009700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:226244-229865(-) | protein_length=933 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720832.1         -            933 3692at5820           -            699         0 1029.4 149.7   3   3     8e-80   2.6e-76  256.2   8.5   541   698   737   905   722   906 0.91 | transcript=PVPAM_100009700_t1 | gene=PVPAM_100009700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:226244-229865(-) | protein_length=933 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   1  11      0.17   5.5e+02   -2.7   2.4    57   119   325   384   293   405 0.82 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   2  11       1.3   4.1e+03   -5.6   4.1   353   419   931   997   928  1033 0.63 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   3  11    0.0017       5.6    3.9   7.0     1    55  1326  1387  1326  1404 0.71 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   4  11         2   6.5e+03   -6.7  10.5    12   109  1401  1505  1387  1511 0.62 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   5  11   0.00086       2.8    4.9  12.5    11    68  1543  1600  1539  1610 0.86 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   6  11   1.7e-05     0.054   10.5   1.5     6    67  1657  1718  1654  1719 0.87 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   7  11     0.012        38    1.1   7.0     8    58  1711  1765  1708  1779 0.84 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   8  11   8.4e-06     0.027   11.5  10.9    12    77  1835  1898  1832  1904 0.83 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6   9  11     4e-10   1.3e-06   25.8  32.6    11   348  2126  2465  2109  2487 0.70 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6  10  11      0.18   5.9e+02   -2.8  17.2   401   529  2596  2717  2551  2762 0.72 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719553.1         -           3264 3692at5820           -            699   1.3e-06   25.8  32.6  11  11      0.69   2.2e+03   -4.8   3.0   233   275  2933  2975  2915  2997 0.73 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3692at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:19 2026
# [ok]
