#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721281.1         -            117 14249at5820          -             99   1.5e-62  206.4  10.3   1   1   1.6e-65     2e-62  205.9  10.3     1    99     1    99     1    99 0.99 | transcript=PVPAM_110018300_t1 | gene=PVPAM_110018300 | organism=Plasmodium_vivax_PAM | gene_product=ribosomal protein L44, putative | transcript_product=ribosomal protein L44, putative | location=CASCJQ010000011:566871-567894(-) | protein_length=117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722690.1         -            120 14249at5820          -             99   1.2e-12   46.3   0.5   1   1   1.1e-15   1.5e-12   46.0   0.5     3    94     2    94     1    98 0.91 | transcript=PVPAM_130019100_t1 | gene=PVPAM_130019100 | organism=Plasmodium_vivax_PAM | gene_product=Ribosomal protein/NADH dehydrogenase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI78] | transcript_product=Ribosomal protein/NADH dehydrogenase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI78] | location=CASCJQ010000013:623635-624557(+) | protein_length=120 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719046.1         -            292 14249at5820          -             99    0.0015   17.1   0.9   1   2   1.1e-06    0.0015   17.1   0.9     5    64     8    67     4    93 0.83 | transcript=PVPAM_060005500_t1 | gene=PVPAM_060005500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:22209-23218(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719046.1         -            292 14249at5820          -             99    0.0015   17.1   0.9   2   2       1.5   1.9e+03   -2.5   1.1    15    38   120   143   107   165 0.60 | transcript=PVPAM_060005500_t1 | gene=PVPAM_060005500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:22209-23218(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724048.1         -            292 14249at5820          -             99    0.0015   17.1   0.9   1   2   1.1e-06    0.0015   17.1   0.9     5    64     8    67     4    93 0.83 | transcript=PVPAM_000017700_t1 | gene=PVPAM_000017700 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000018:248701-249710(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724048.1         -            292 14249at5820          -             99    0.0015   17.1   0.9   2   2       1.5   1.9e+03   -2.5   1.1    15    38   120   143   107   165 0.60 | transcript=PVPAM_000017700_t1 | gene=PVPAM_000017700 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000018:248701-249710(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721932.1         -            599 14249at5820          -             99     0.075   11.7   2.5   1   3      0.68   8.7e+02   -1.4   0.0    27    43   178   194   155   204 0.68 | transcript=PVPAM_120016600_t1 | gene=PVPAM_120016600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoenolpyruvate carboxykinase, putative | transcript_product=phosphoenolpyruvate carboxykinase, putative | location=CASCJQ010000012:519438-521237(-) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721932.1         -            599 14249at5820          -             99     0.075   11.7   2.5   2   3       2.1   2.6e+03   -2.9   0.2    21    42   375   397   371   400 0.69 | transcript=PVPAM_120016600_t1 | gene=PVPAM_120016600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoenolpyruvate carboxykinase, putative | transcript_product=phosphoenolpyruvate carboxykinase, putative | location=CASCJQ010000012:519438-521237(-) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721932.1         -            599 14249at5820          -             99     0.075   11.7   2.5   3   3   0.00011      0.15   10.7   0.0    50    80   510   541   475   548 0.88 | transcript=PVPAM_120016600_t1 | gene=PVPAM_120016600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoenolpyruvate carboxykinase, putative | transcript_product=phosphoenolpyruvate carboxykinase, putative | location=CASCJQ010000012:519438-521237(-) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14249at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14249at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:56 2026
# [ok]
