#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717783.1         -            256 10191at5820          -            228  9.3e-133  439.4  11.1   1   1    2e-134  1.6e-131  435.4  11.1     1   228     1   256     1   256 0.96 | transcript=PVPAM_010029700_t1 | gene=PVPAM_010029700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=CASCJQ010000001:1103661-1104585(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 10191at5820          -            228   3.1e-13   48.4   3.3   1   2   2.2e-09   1.8e-06   26.3   0.0     4    70    24    90    22   112 0.94 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 10191at5820          -            228   3.1e-13   48.4   3.3   2   2   6.2e-08     5e-05   21.6   1.9    90   201   155   269   130   277 0.73 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720014.1         -            273 10191at5820          -            228   2.9e-12   45.2   1.6   1   1     5e-14   4.1e-11   41.5   1.6     8   199    61   245    56   264 0.75 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722072.1         -            270 10191at5820          -            228   1.4e-06   26.7   0.0   1   1   2.9e-07   0.00023   19.4   0.0   140   215   163   239    36   251 0.67 | transcript=PVPAM_120031000_t1 | gene=PVPAM_120031000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=CASCJQ010000012:1018619-1019431(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 10191at5820          -            228   2.2e-05   22.7   0.2   1   1   6.8e-08   5.5e-05   21.5   0.2     9   120     9   133     2   184 0.79 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717977.1         -            256 10191at5820          -            228   3.8e-05   22.0   0.1   1   1     2e-07   0.00016   19.9   0.1     2   195    27   222    26   250 0.73 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720952.1         -            241 10191at5820          -            228   0.00056   18.2   0.0   1   1   9.3e-07   0.00075   17.7   0.0     8    71    37   100    31   153 0.88 | transcript=PVPAM_100022000_t1 | gene=PVPAM_100022000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=CASCJQ010000010:755925-757413(+) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723643.1         -            207 10191at5820          -            228     0.017   13.3   0.0   1   1   3.4e-05     0.027   12.6   0.0     7    67    35    95    30   117 0.88 | transcript=PVPAM_140056700_t1 | gene=PVPAM_140056700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=CASCJQ010000014:2230899-2232126(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10191at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:59 2026
# [ok]
