#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722905.1         -            956 1968at5820           -            840         0 1614.4  52.1   1   1         0         0 1613.8  52.1     1   840     8   952     8   952 0.93 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 1968at5820           -            840   9.6e-55  184.4   8.9   1   2   0.00012     0.068    9.6   1.4   679   769   161   260   152   281 0.75 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 1968at5820           -            840   9.6e-55  184.4   8.9   2   2   6.1e-56   3.6e-53  179.2   1.1   171   408   428   660   377   690 0.90 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722988.1         -            304 1968at5820           -            840   1.5e-43  147.4   0.0   1   1   3.4e-46     2e-43  147.0   0.0   175   411    57   287    50   296 0.88 | transcript=PVPAM_130049400_t1 | gene=PVPAM_130049400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=CASCJQ010000013:1956130-1958285(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720159.1         -            308 1968at5820           -            840   4.6e-40  135.8   0.4   1   1   9.4e-43   5.5e-40  135.6   0.4   170   410    45   280    10   295 0.84 | transcript=PVPAM_080038100_t1 | gene=PVPAM_080038100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=CASCJQ010000008:1509355-1510281(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719719.1         -            307 1968at5820           -            840   1.9e-39  133.8   0.8   1   1   3.8e-42   2.3e-39  133.6   0.8   167   415    40   282     7   291 0.82 | transcript=PVPAM_070033300_t1 | gene=PVPAM_070033300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=CASCJQ010000007:1222988-1223911(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719695.1         -            510 1968at5820           -            840   3.4e-37  126.4   0.0   1   1   9.1e-40   5.3e-37  125.7   0.0   175   407   247   479   169   496 0.86 | transcript=PVPAM_070030900_t1 | gene=PVPAM_070030900 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=CASCJQ010000007:1119834-1121534(-) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 1968at5820           -            840   2.3e-34  117.0   2.3   1   1   6.4e-37   3.8e-34  116.3   2.3   173   427   564   846   473   858 0.82 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717793.1         -            564 1968at5820           -            840   6.1e-28   95.7   1.3   1   1   1.3e-30   7.7e-28   95.4   1.3   175   418    82   333    61   399 0.82 | transcript=PVPAM_010030700_t1 | gene=PVPAM_010030700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=CASCJQ010000001:1141578-1143819(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 1968at5820           -            840   1.5e-12   44.8   1.1   1   2     0.025        15    1.8   0.0   176   216  1163  1205  1089  1213 0.87 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 1968at5820           -            840   1.5e-12   44.8   1.1   2   2   7.3e-14   4.3e-11   40.0   0.7   199   403  1255  1502  1250  1520 0.71 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
