#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720626.1         -            424 6759at5820           -            362  8.9e-216  714.7  19.4   1   1  9.4e-219    1e-215  714.5  19.4     1   362    25   411    25   411 0.97 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 6759at5820           -            362   5.1e-27   93.7   6.4   1   3   1.4e-16   1.5e-13   49.4   0.0   122   209    31   117    16   135 0.83 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 6759at5820           -            362   5.1e-27   93.7   6.4   2   3     0.003       3.2    5.6   1.6     6    86   141   217   138   234 0.84 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 6759at5820           -            362   5.1e-27   93.7   6.4   3   3   1.2e-13   1.3e-10   39.7   0.0   120   226   352   454   317   466 0.80 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 6759at5820           -            362   3.6e-14   51.4   0.7   1   1   4.6e-17   4.9e-14   51.0   0.7   122   230    24   129    18   138 0.80 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 6759at5820           -            362     5e-14   51.0  15.3   1   2     4e-09   4.3e-06   24.9   1.6   111   227    17   132     3   192 0.71 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 6759at5820           -            362     5e-14   51.0  15.3   2   2   1.6e-11   1.7e-08   32.8   4.2   110   225   391   509   345   542 0.70 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 6759at5820           -            362   2.2e-07   29.1   0.0   1   1   2.1e-10   2.2e-07   29.1   0.0   130   208    10    83     1   102 0.76 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 6759at5820           -            362    0.0049   14.8   0.1   1   1   5.1e-06    0.0055   14.6   0.1   135   203    65   131    43   148 0.86 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6759at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6759at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6759at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:29 2026
# [ok]
