#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722783.1         -            854 2259at5820           -            765         0 1614.0  22.8   1   1         0         0 1611.8  22.8     1   761    13   836    13   839 0.96 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 2259at5820           -            765   1.5e-45  154.3   0.3   1   1   4.5e-47   5.3e-45  152.4   0.3   505   742   433   703   427   721 0.80 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 2259at5820           -            765   9.7e-43  145.0   1.2   1   1     1e-44   1.2e-42  144.7   1.2   532   727    81   283    27   310 0.88 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 2259at5820           -            765   1.5e-33  114.6   0.1   1   1   1.9e-35   2.2e-33  114.0   0.1   500   719   159   407   152   415 0.81 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723569.1         -            440 2259at5820           -            765   7.2e-30  102.4   2.5   1   1   8.3e-32   9.8e-30  102.0   2.5    23   259   173   421   159   432 0.88 | transcript=PVPAM_140049300_t1 | gene=PVPAM_140049300 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=CASCJQ010000014:1905410-1907661(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 2259at5820           -            765   3.3e-29  100.2   3.9   1   1   3.1e-31   3.7e-29  100.1   2.7   488   709   107   353   102   365 0.75 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 2259at5820           -            765   1.4e-27   94.8   3.0   1   1   2.4e-29   2.8e-27   93.8   3.0   499   714   479   721   457   732 0.75 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722902.1         -            284 2259at5820           -            765   1.9e-27   94.4   4.9   1   1   8.5e-29     1e-26   92.0   4.9   504   690    25   238     5   275 0.69 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 2259at5820           -            765   2.2e-27   94.2   1.8   1   3       5.1     6e+02   -3.1   0.1   496   534    51    89    45    95 0.74 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 2259at5820           -            765   2.2e-27   94.2   1.8   2   3   1.9e-29   2.2e-27   94.2   1.8   539   716   124   316   114   330 0.81 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 2259at5820           -            765   2.2e-27   94.2   1.8   3   3       6.7   7.9e+02   -3.5   0.0   350   382   485   519   453   520 0.70 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
