#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719304.1         -            886 2073at5820           -            783         0 1494.9  50.8   1   1         0         0 1491.3  50.8     1   779     1   879     1   886 0.93 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 2073at5820           -            783   4.5e-66  221.9  21.3   1   2   2.9e-45   3.1e-42  143.0   7.7   178   407   161   401   152   407 0.87 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 2073at5820           -            783   4.5e-66  221.9  21.3   2   2   1.4e-27   1.5e-24   84.6   5.6   407   617   494   717   490   722 0.83 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 2073at5820           -            783   5.5e-20   69.5   0.9   1   3   9.1e-07   0.00098   15.7   0.1   178   245   100   169    80   201 0.81 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 2073at5820           -            783   5.5e-20   69.5   0.9   2   3     0.029        31    0.8   0.0   330   389   530   591   521   605 0.82 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 2073at5820           -            783   5.5e-20   69.5   0.9   3   3   6.8e-17   7.3e-14   49.2   0.0   406   488   668   752   658   773 0.86 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2073at5820           -            783     4e-13   46.8   4.7   1   3   4.4e-11   4.7e-08   30.0   0.5   179   356   138   320   134   332 0.74 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2073at5820           -            783     4e-13   46.8   4.7   2   3   2.5e-07   0.00027   17.6   0.0   453   485   903   935   897   951 0.87 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2073at5820           -            783     4e-13   46.8   4.7   3   3      0.22   2.4e+02   -2.1   0.1    92   141  1053  1103  1041  1115 0.79 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2073at5820           -            783   7.7e-13   45.8   0.2   1   3   5.9e-06    0.0064   13.0   0.0   177   232    73   128    57   150 0.86 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2073at5820           -            783   7.7e-13   45.8   0.2   2   3   2.1e-10   2.3e-07   27.7   0.1   409   474   568   635   546   645 0.89 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
