#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   1   7   9.2e-06      0.03   10.5   2.9     1    55     1    56     1    76 0.67 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   2   7   5.8e-08   0.00019   17.8   0.4    22    63   196   237   188   261 0.76 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   3   7   3.6e-55   1.2e-51  174.1   3.1    47   149   290   392   268   429 0.85 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   4   7   1.8e-06    0.0058   12.8   0.4   146   186   514   555   502   572 0.83 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   5   7  6.1e-163    2e-159  530.9   9.2   181   424   967  1210   927  1252 0.90 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   6   7  3.9e-199  1.2e-195  650.7  12.9   411   721  1410  1729  1388  1734 0.92 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721233.1         -           2125 2102at5820           -           1057         0 2037.4  91.6   7   7  5.6e-206  1.8e-202  673.4  19.3   717  1057  1770  2122  1762  2122 0.96 | transcript=PVPAM_110013500_t1 | gene=PVPAM_110013500 | organism=Plasmodium_vivax_PAM | gene_product=calpain, putative | transcript_product=calpain, putative | location=CASCJQ010000011:331295-337672(-) | protein_length=2125 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721186.1         -            452 2102at5820           -           1057      0.18    7.9  10.0   1   2   9.7e-07    0.0031   13.7   2.4   147   231    65   149    36   174 0.88 | transcript=PVPAM_110008800_t1 | gene=PVPAM_110008800 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=CASCJQ010000011:144604-145962(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721186.1         -            452 2102at5820           -           1057      0.18    7.9  10.0   2   2     0.072   2.3e+02   -2.4   0.9    34    62   203   232   197   252 0.73 | transcript=PVPAM_110008800_t1 | gene=PVPAM_110008800 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=CASCJQ010000011:144604-145962(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2102at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2102at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2102at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:02 2026
# [ok]
