#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722447.1         -            944 2489at5820           -            660         0 1452.7  52.5   1   3   0.00066       1.1    6.4   0.8     1    25    37    61    37    92 0.86 | transcript=PVPAM_120068400_t1 | gene=PVPAM_120068400 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000012:2595562-2598396(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722447.1         -            944 2489at5820           -            660         0 1452.7  52.5   2   3   1.3e-29   2.1e-26   91.4   1.8    11    61    92   142    83   151 0.93 | transcript=PVPAM_120068400_t1 | gene=PVPAM_120068400 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000012:2595562-2598396(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722447.1         -            944 2489at5820           -            660         0 1452.7  52.5   3   3         0         0 1365.3  36.0    45   660   170   802   146   802 0.97 | transcript=PVPAM_120068400_t1 | gene=PVPAM_120068400 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000012:2595562-2598396(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717702.1         -            748 2489at5820           -            660    5e-139  463.5  29.3   1   2   3.5e-57   5.7e-54  182.5   5.6    14   219     4   217     1   243 0.85 | transcript=PVPAM_010021600_t1 | gene=PVPAM_010021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000001:779796-782694(+) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717702.1         -            748 2489at5820           -            660    5e-139  463.5  29.3   2   2   8.1e-89   1.3e-85  287.0  15.8   228   648   293   714   271   719 0.90 | transcript=PVPAM_010021600_t1 | gene=PVPAM_010021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000001:779796-782694(+) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723560.1         -            814 2489at5820           -            660  6.1e-124  413.7  32.5   1   2   1.7e-97   2.8e-94  315.7  14.7    12   394    64   467    57   491 0.88 | transcript=PVPAM_140048400_t1 | gene=PVPAM_140048400 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=CASCJQ010000014:1839306-1841750(-) | protein_length=814 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723560.1         -            814 2489at5820           -            660  6.1e-124  413.7  32.5   2   2   4.4e-33   7.1e-30  102.8  10.8   397   649   499   753   482   758 0.81 | transcript=PVPAM_140048400_t1 | gene=PVPAM_140048400 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=CASCJQ010000014:1839306-1841750(-) | protein_length=814 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720465.1         -            853 2489at5820           -            660   7.7e-92  307.6  28.9   1   2   2.1e-46   3.4e-43  146.8   7.1    14   216    73   312    67   323 0.79 | transcript=PVPAM_090023000_t1 | gene=PVPAM_090023000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000009:836024-838585(-) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720465.1         -            853 2489at5820           -            660   7.7e-92  307.6  28.9   2   2   8.8e-50   1.4e-46  158.0  13.8   246   642   377   797   369   816 0.80 | transcript=PVPAM_090023000_t1 | gene=PVPAM_090023000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000009:836024-838585(-) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2489at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2489at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2489at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:18 2026
# [ok]
