#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722015.1         -           1256 3047at5820           -            724         0 1139.6  70.0   1   6   1.4e-27   1.6e-24   85.0   7.9     1    76    33   123    33   126 0.90 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 3047at5820           -            724         0 1139.6  70.0   2   6   1.3e-40   1.4e-37  128.1   3.1    72   159   190   277   184   281 0.95 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 3047at5820           -            724         0 1139.6  70.0   3   6   5.8e-46   6.2e-43  145.9   1.8   157   266   329   457   325   491 0.89 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 3047at5820           -            724         0 1139.6  70.0   4   6  3.2e-164  3.4e-161  536.8  16.7   263   566   508   848   506   857 0.91 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 3047at5820           -            724         0 1139.6  70.0   5   6   6.1e-28   6.6e-25   86.3   0.9   567   630   909   978   901   985 0.91 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 3047at5820           -            724         0 1139.6  70.0   6   6     7e-57   7.5e-54  181.9   1.9   633   724  1158  1250  1149  1250 0.94 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 3047at5820           -            724   5.4e-35  119.6   0.0   1   2     2e-05     0.021   11.9   0.1   380   451   836   908   825   935 0.82 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 3047at5820           -            724   5.4e-35  119.6   0.0   2   2   1.2e-33   1.3e-30  105.2   0.0   456   700   979  1233   961  1244 0.83 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3047at5820           -            724   7.4e-33  112.5   0.1   1   5       3.4   3.7e+03   -5.5   4.9   289   330    50    89    16   130 0.48 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3047at5820           -            724   7.4e-33  112.5   0.1   2   5       2.1   2.3e+03   -4.8   5.5     7    79   961  1035   895  1059 0.70 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3047at5820           -            724   7.4e-33  112.5   0.1   3   5       0.7   7.6e+02   -3.2   0.6   306   339  1330  1363  1324  1385 0.82 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
