#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718118.1         -            380 8131at5820           -            332    2e-189  627.2  64.5   1   1  5.8e-191  4.7e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 8131at5820           -            332   1.3e-16   59.1   1.4   1   2    0.0018       1.4    6.4   0.0   197   225     6    34     2    42 0.89 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 8131at5820           -            332   1.3e-16   59.1   1.4   2   2   2.5e-16     2e-13   48.6   0.9    67   221    42   206    38   218 0.84 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 8131at5820           -            332   9.4e-08   30.0   2.7   1   2   4.3e-09   3.5e-06   24.8   0.1   103   223    13   144     3   149 0.74 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 8131at5820           -            332   9.4e-08   30.0   2.7   2   2     0.006       4.8    4.7   0.2    46    96   151   200   145   240 0.77 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 8131at5820           -            332   1.4e-07   29.5   0.3   1   3   2.9e-05     0.023   12.3   0.0   181   224    18    61     7    67 0.91 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 8131at5820           -            332   1.4e-07   29.5   0.3   2   3    0.0062         5    4.6   0.0   150   224    86   156    65   160 0.77 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 8131at5820           -            332   1.4e-07   29.5   0.3   3   3   0.00078      0.63    7.6   1.5    55   183   172   316   158   318 0.59 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 8131at5820           -            332   1.7e-06   25.9   4.1   1   1   4.8e-09   3.9e-06   24.7   4.0    11   219    39   255    29   274 0.73 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   1   7   0.00027      0.22    9.1   0.9   185   305    25   141    11   147 0.75 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   2   7       1.7   1.4e+03   -3.4   0.0   244   296   425   477   408   485 0.59 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   3   7      0.31   2.5e+02   -1.0   6.3   149   176   671   698   569   698 0.59 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   4   7    0.0007      0.56    7.7   0.1   150   182   672   704   651   711 0.85 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   5   7     0.017        14    3.1   0.1   103   177   747   823   734   830 0.73 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   6   7   1.6e-06    0.0013   16.4   0.0   193   228  1026  1061   960  1065 0.75 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
