#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723074.1         -           1020 8193at5820           -            626  3.2e-276  916.5 173.9   1   6   1.3e-63   1.6e-60  203.9  15.2     1   132     9   143     9   153 0.94 | transcript=PVPAM_130058000_t1 | gene=PVPAM_130058000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000013:2353047-2356283(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723074.1         -           1020 8193at5820           -            626  3.2e-276  916.5 173.9   2   6   6.1e-05     0.078   10.1   1.1   131   152   204   225   203   229 0.93 | transcript=PVPAM_130058000_t1 | gene=PVPAM_130058000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000013:2353047-2356283(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723074.1         -           1020 8193at5820           -            626  3.2e-276  916.5 173.9   3   6   3.5e-54   4.5e-51  172.7  19.4   129   272   237   394   226   398 0.86 | transcript=PVPAM_130058000_t1 | gene=PVPAM_130058000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000013:2353047-2356283(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723074.1         -           1020 8193at5820           -            626  3.2e-276  916.5 173.9   4   6  4.8e-111  6.2e-108  360.6  52.6   269   499   489   757   486   760 0.88 | transcript=PVPAM_130058000_t1 | gene=PVPAM_130058000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000013:2353047-2356283(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723074.1         -           1020 8193at5820           -            626  3.2e-276  916.5 173.9   5   6   3.5e-63   4.5e-60  202.5  36.3   484   623   767   914   758   917 0.90 | transcript=PVPAM_130058000_t1 | gene=PVPAM_130058000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000013:2353047-2356283(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723074.1         -           1020 8193at5820           -            626  3.2e-276  916.5 173.9   6   6         5   6.5e+03  -12.6  10.9   599   621   977  1002   937  1018 0.50 | transcript=PVPAM_130058000_t1 | gene=PVPAM_130058000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000013:2353047-2356283(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 8193at5820           -            626   5.8e-10   36.9   5.6   1   2       0.2   2.6e+02   -1.6   5.2     3   114    96   211    94   231 0.62 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 8193at5820           -            626   5.8e-10   36.9   5.6   2   2   4.5e-13   5.8e-10   36.9   5.6   190   274   301   390   249   395 0.87 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 8193at5820           -            626   2.2e-09   35.0   2.0   1   3   0.00018      0.23    8.5   0.3   198   260    10    72     4    85 0.91 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 8193at5820           -            626   2.2e-09   35.0   2.0   2   3   1.7e-12   2.2e-09   35.0   2.0   196   269   165   238   131   265 0.89 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 8193at5820           -            626   2.2e-09   35.0   2.0   3   3         5   6.5e+03   -9.5   5.8   583   598   506   521   499   541 0.51 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
