#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722044.1         -            522 6047at5820           -            441  7.8e-218  722.0   1.6   1   1  9.4e-220  6.1e-217  719.1   1.6     1   439     1   516     1   518 0.96 | transcript=PVPAM_120028200_t1 | gene=PVPAM_120028200 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:900847-902415(+) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 6047at5820           -            441   3.2e-05   21.3   4.8   1   2   2.1e-06    0.0013   16.0   1.3   260   333   118   188   112   215 0.76 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 6047at5820           -            441   3.2e-05   21.3   4.8   2   2    0.0016         1    6.5   0.1   406   432   291   317   240   324 0.80 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 6047at5820           -            441   7.3e-05   20.1   0.0   1   3      0.38   2.5e+02   -1.4   0.7   348   420   520   593   514   604 0.67 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 6047at5820           -            441   7.3e-05   20.1   0.0   2   3       1.4     9e+02   -3.2   0.1    32    47   839   854   835   857 0.78 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 6047at5820           -            441   7.3e-05   20.1   0.0   3   3   1.1e-07   7.3e-05   20.1   0.0   278   335   909   965   901   971 0.86 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 6047at5820           -            441   8.8e-05   19.9   0.1   1   1   2.3e-07   0.00015   19.1   0.1   283   355   139   206   118   224 0.80 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 6047at5820           -            441   0.00056   17.2   1.8   1   1   1.5e-06   0.00095   16.5   1.8   270   440  3034  3217  3002  3218 0.68 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720087.1         -            327 6047at5820           -            441   0.00095   16.5   1.0   1   2   5.8e-05     0.038   11.2   0.0   275   311   119   155   113   170 0.85 | transcript=PVPAM_080030900_t1 | gene=PVPAM_080030900 | organism=Plasmodium_vivax_PAM | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=CASCJQ010000008:1179205-1180522(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720087.1         -            327 6047at5820           -            441   0.00095   16.5   1.0   2   2     0.012         8    3.5   0.2   363   438   192   275   184   277 0.80 | transcript=PVPAM_080030900_t1 | gene=PVPAM_080030900 | organism=Plasmodium_vivax_PAM | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=CASCJQ010000008:1179205-1180522(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 6047at5820           -            441    0.0028   14.9   0.1   1   1   6.3e-06     0.004   14.4   0.1   266   438   125   302    90   304 0.69 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
