#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723372.1         -            216 11491at5820          -            195  4.7e-125  413.1   7.2   1   1  1.9e-127  6.7e-125  412.6   7.2     1   191     1   201     1   205 0.98 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 11491at5820          -            195   3.3e-58  195.0   1.7   1   1   1.1e-60     4e-58  194.8   1.7     4   180     2   183     1   217 0.94 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 11491at5820          -            195   1.6e-53  179.8   0.3   1   1   5.9e-56   2.1e-53  179.3   0.3     8   174     4   169     2   178 0.94 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 11491at5820          -            195   1.1e-52  177.1   2.7   1   1   3.7e-55   1.3e-52  176.7   2.7     7   185     8   186     2   195 0.95 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 11491at5820          -            195     2e-52  176.2   6.9   1   1   6.1e-55   2.2e-52  176.0   6.9     5   193     2   190     1   200 0.93 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 11491at5820          -            195   1.5e-42  144.0   1.2   1   1   4.9e-45   1.8e-42  143.7   1.2    16   195    13   194     9   194 0.94 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 11491at5820          -            195   6.6e-42  141.8   6.6   1   1   2.1e-44   7.7e-42  141.6   6.6     5   175     4   174     1   193 0.91 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 11491at5820          -            195   4.4e-37  126.1   1.6   1   1   1.6e-39   5.7e-37  125.7   1.6    14   176    15   176     6   194 0.94 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 11491at5820          -            195   1.5e-35  121.2   0.4   1   1   5.2e-38   1.8e-35  120.8   0.4    13   173    35   193    23   203 0.95 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 11491at5820          -            195   5.7e-33  112.7   0.9   1   1   1.7e-35     6e-33  112.6   0.9    12   181     9   184     1   206 0.85 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11491at5820          -            195   8.9e-32  108.8  10.4   1   2   1.2e-08   4.4e-06   25.0   0.1    13    58     9    54     3    61 0.90 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
