#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   1  10   2.1e-44   1.3e-40  137.8   2.4     1   147     5   183     5   189 0.85 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   2  10   3.4e-34   2.2e-30  103.9  19.5   145   238   212   309   204   314 0.92 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   3  10   9.6e-28   6.2e-24   82.6   0.1   236   316   411   500   409   504 0.84 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   4  10   1.7e-52   1.1e-48  164.6   0.1   316   469   537   741   531   743 0.81 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   5  10   2.3e-10   1.5e-06   25.0   0.1   468   506   814   853   811   864 0.86 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   6  10     1e-18   6.6e-15   52.7   0.4   497   553   868   928   857   930 0.88 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   7  10   8.4e-32   5.4e-28   96.0   3.1   549   613   946  1010   942  1020 0.95 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   8  10     1e-53   6.6e-50  168.6   6.2   612   736  1087  1217  1084  1220 0.94 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9   9  10   3.4e-11   2.2e-07   27.8   9.9   736   793  1259  1337  1252  1344 0.73 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717958.1         -           1679 1391at5820           -           1077         0 1291.4 117.9  10  10    1e-144  6.6e-141  469.9  18.9   784  1076  1358  1659  1353  1660 0.95 | transcript=PVPAM_020019000_t1 | gene=PVPAM_020019000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:577226-583355(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
