#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   1   8  8.9e-198  2.9e-194  646.4  52.7     1   300     1   300     1   307 0.99 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   2   8      0.12     4e+02   -2.8   0.1   289   308   362   381   361   383 0.81 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   3   8   1.4e-13   4.5e-10   36.7   1.4   308   349   465   507   455   513 0.87 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   4   8   4.5e-08   0.00015   18.5   0.4   341   370   533   562   524   566 0.87 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   5   8   2.4e-14   7.7e-11   39.3   2.2   362   403   592   634   585   638 0.92 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   6   8   8.4e-88   2.7e-84  282.4  17.8   404   579   691   878   682   881 0.94 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   7   8  1.2e-173  3.9e-170  566.5  27.8   578   883   945  1275   941  1283 0.93 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721442.1         -           1440 1827at5820           -            993         0 1747.8 164.3   8   8   8.1e-62   2.6e-58  196.4  12.6   881   993  1321  1440  1310  1440 0.94 | transcript=PVPAM_110034800_t1 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   1   8  9.8e-196  3.2e-192  639.7  52.5     1   300     1   299     1   306 0.99 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   2   8      0.12     4e+02   -2.8   0.1   289   308   361   380   360   382 0.81 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   3   8   1.4e-13   4.5e-10   36.7   1.4   308   349   464   506   454   512 0.87 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   4   8   4.5e-08   0.00015   18.5   0.4   341   370   532   561   523   565 0.87 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   5   8   2.4e-14   7.7e-11   39.3   2.2   362   403   591   633   584   637 0.92 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   6   8   8.4e-88   2.7e-84  282.4  17.8   404   579   690   877   681   880 0.94 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   7   8  1.2e-173  3.9e-170  566.5  27.8   578   883   944  1274   940  1282 0.93 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721443.1         -           1439 1827at5820           -            993         0 1741.0 164.1   8   8   8.1e-62   2.6e-58  196.4  12.6   881   993  1320  1439  1309  1439 0.94 | transcript=PVPAM_110034800_t2 | gene=PVPAM_110034800 | organism=Plasmodium_vivax_PAM | gene_product=FPL domain-containing protein, putative | transcript_product=FPL domain-containing protein, putative | location=CASCJQ010000011:1263589-1270359(+) | protein_length=1439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1827at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1827at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1827at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:57 2026
# [ok]
