#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723832.1         -            709 5387at5820           -            503  9.1e-228  755.4  47.7   1   4   9.7e-14   1.6e-10   38.8   0.2     1    32     4    35     4    37 0.96 | transcript=PVPAM_140075500_t1 | gene=PVPAM_140075500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2955248-2957810(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723832.1         -            709 5387at5820           -            503  9.1e-228  755.4  47.7   2   4   2.1e-46   3.4e-43  146.5   4.1    31   132    85   187    81   207 0.87 | transcript=PVPAM_140075500_t1 | gene=PVPAM_140075500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2955248-2957810(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723832.1         -            709 5387at5820           -            503  9.1e-228  755.4  47.7   3   4   2.7e-90   4.4e-87  291.3  27.1   103   337   202   456   180   459 0.90 | transcript=PVPAM_140075500_t1 | gene=PVPAM_140075500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2955248-2957810(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723832.1         -            709 5387at5820           -            503  9.1e-228  755.4  47.7   4   4   6.7e-90   1.1e-86  290.0   0.5   334   503   520   692   494   692 0.96 | transcript=PVPAM_140075500_t1 | gene=PVPAM_140075500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2955248-2957810(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 5387at5820           -            503   2.3e-07   28.4  37.5   1   3     5e-05     0.081   10.1  12.3   121   194    32   112    17   120 0.70 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 5387at5820           -            503   2.3e-07   28.4  37.5   2   3     2e-06    0.0033   14.7   3.4   156   255   118   206   112   208 0.82 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 5387at5820           -            503   2.3e-07   28.4  37.5   3   3   3.8e-06    0.0062   13.7  12.1   104   227   158   277   155   297 0.71 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 5387at5820           -            503    0.0041   14.3  15.4   1   1   4.3e-06    0.0069   13.6  14.9   125   231    53   159    40   193 0.84 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 5387at5820           -            503      0.12    9.5   8.5   1   2    0.0086        14    2.7   1.0   250   330    94   175    75   220 0.71 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 5387at5820           -            503      0.12    9.5   8.5   2   2   3.2e-05     0.051   10.7   1.3   141   192   276   328   268   345 0.58 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5387at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5387at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5387at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:37 2026
# [ok]
