#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   1   7   2.1e-38   2.8e-35  120.4   0.3     1    79     1    82     1    88 0.95 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   2   7   3.5e-09   4.5e-06   23.9   0.1    79   113   130   170   127   174 0.77 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   3   7   1.5e-07    0.0002   18.5   0.0    94   146   249   301   240   307 0.85 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   4   7   7.1e-25   9.2e-22   75.7   6.3   141   205   319   384   315   389 0.95 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   5   7   8.8e-70   1.1e-66  224.1  18.3   206   358   474   626   471   634 0.98 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   6   7   4.3e-96   5.6e-93  311.0  25.0   358   543   650   835   646   839 0.98 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721599.1         -            955 3954at5820           -            617  1.5e-274  910.8  93.8   7   7   4.7e-51   6.1e-48  162.2   8.3   540   617   878   955   865   955 0.93 | transcript=PVPAM_110050300_t1 | gene=PVPAM_110050300 | organism=Plasmodium_vivax_PAM | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=CASCJQ010000011:1899699-1902566(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 3954at5820           -            617   2.3e-06   24.9   8.1   1   1   1.8e-09   2.3e-06   24.9   8.1   539   609   339   408   312   414 0.75 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722697.1         -           1753 3954at5820           -            617   0.00052   17.1   6.5   1   1   9.5e-07    0.0012   15.9   6.5   557   605   420   467   411   473 0.88 | transcript=PVPAM_130019800_t1 | gene=PVPAM_130019800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:655339-660600(+) | protein_length=1753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718907.1         -            730 3954at5820           -            617    0.0012   15.9   7.4   1   1   1.6e-06     0.002   15.1   7.4   544   607    61   122    42   129 0.79 | transcript=PVPAM_050029900_t1 | gene=PVPAM_050029900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC3, putative | transcript_product=PhIL1-interacting candidate PIC3, putative | location=CASCJQ010000005:1028422-1030614(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720955.1         -            271 3954at5820           -            617       1.5    5.7  17.6   1   2   6.1e-06    0.0079   13.2   2.8   556   608    35    87    15    96 0.87 | transcript=PVPAM_100022300_t1 | gene=PVPAM_100022300 | organism=Plasmodium_vivax_PAM | gene_product=NOSIP domain-containing protein, putative | transcript_product=NOSIP domain-containing protein, putative | location=CASCJQ010000010:764723-766500(-) | protein_length=271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720955.1         -            271 3954at5820           -            617       1.5    5.7  17.6   2   2      0.86   1.1e+03   -3.8  10.4   309   376    88   155    75   163 0.61 | transcript=PVPAM_100022300_t1 | gene=PVPAM_100022300 | organism=Plasmodium_vivax_PAM | gene_product=NOSIP domain-containing protein, putative | transcript_product=NOSIP domain-containing protein, putative | location=CASCJQ010000010:764723-766500(-) | protein_length=271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3954at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3954at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3954at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:23 2026
