#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723576.1         -            306 9708at5820           -            266    2e-166  550.4   7.0   1   2  4.1e-113  4.4e-110  365.7   3.1     1   177     1   177     1   192 0.97 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 9708at5820           -            266    2e-166  550.4   7.0   2   2   1.5e-58   1.7e-55  186.8   0.1   177   265   217   305   208   306 0.96 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 9708at5820           -            266     2e-11   42.2   0.2   1   3   0.00015      0.16    9.8   0.0   171   240    18    91    12    92 0.69 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 9708at5820           -            266     2e-11   42.2   0.2   2   3   4.8e-10   5.2e-07   27.8   0.0   131   251    78   201    36   216 0.78 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 9708at5820           -            266     2e-11   42.2   0.2   3   3   0.00019      0.21    9.4   0.1   182   241   224   289   212   314 0.69 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9708at5820           -            266   9.4e-10   36.8   0.7   1   3    0.0058       6.3    4.6   0.0   183   213    35    66    19    83 0.80 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9708at5820           -            266   9.4e-10   36.8   0.7   2   3      0.22   2.3e+02   -0.6   0.1    20    81   765   826   751   834 0.74 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9708at5820           -            266   9.4e-10   36.8   0.7   3   3   3.9e-10   4.2e-07   28.1   0.1   181   250  1027  1096   992  1109 0.85 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 9708at5820           -            266     6e-09   34.1   6.8   1   4     0.037        40    1.9   0.0   180   210    13    44     2    48 0.73 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 9708at5820           -            266     6e-09   34.1   6.8   2   4   1.2e-06    0.0013   16.7   0.2   114   177   197   263   153   285 0.80 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 9708at5820           -            266     6e-09   34.1   6.8   3   4     0.036        39    2.0   0.1   124   216   338   438   290   444 0.62 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 9708at5820           -            266     6e-09   34.1   6.8   4   4   7.2e-06    0.0078   14.1   0.1    33    81   441   490   435   493 0.87 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 9708at5820           -            266   2.4e-08   32.2   1.3   1   2   1.2e-08   1.3e-05   23.2   0.1   131   241    63   178     3   190 0.81 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 9708at5820           -            266   2.4e-08   32.2   1.3   2   2   0.00057      0.61    7.9   0.1    34    73   253   292   220   301 0.65 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 9708at5820           -            266   1.3e-07   29.8   1.0   1   2   0.00042      0.45    8.3   0.0    89   246    54   213    29   215 0.67 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 9708at5820           -            266   1.3e-07   29.8   1.0   2   2   8.3e-10     9e-07   27.0   0.5   130   262   193   328   183   332 0.69 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
