#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721120.1         -            177 13470at5820          -            123   5.6e-68  225.2   9.5   1   2     1e-21     3e-19   67.9   0.1     2    44     7    49     6    57 0.95 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 13470at5820          -            123   5.6e-68  225.2   9.5   2   2   4.4e-50   1.3e-47  159.5   5.6    34   123    84   177    68   177 0.94 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 13470at5820          -            123   1.8e-09   36.3   0.4   1   2   1.2e-11   3.6e-09   35.3   0.1     2    67     3    69     2    89 0.86 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 13470at5820          -            123   1.8e-09   36.3   0.4   2   2       8.3   2.4e+03   -2.9   0.0    75    90   229   244   223   246 0.75 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 13470at5820          -            123   3.4e-07   28.9   0.7   1   1   1.2e-09   3.4e-07   28.9   0.7     5    67    10    75     6    90 0.78 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 13470at5820          -            123   3.9e-07   28.7   0.6   1   2   1.3e-09   3.9e-07   28.7   0.6     2    74   111   180   110   214 0.83 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 13470at5820          -            123   3.9e-07   28.7   0.6   2   2       2.4   6.9e+02   -1.1   0.8    57    86   317   348   272   376 0.70 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 13470at5820          -            123   5.6e-07   28.3   7.0   1   2   1.9e-09   5.6e-07   28.3   7.0     2    83   115   199   114   208 0.79 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 13470at5820          -            123   5.6e-07   28.3   7.0   2   2      0.36   1.1e+02    1.5   6.9    17    84   181   254   180   259 0.70 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 13470at5820          -            123     7e-07   27.9   0.2   1   2   2.4e-09     7e-07   27.9   0.2     3    35    27    59    25    82 0.89 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 13470at5820          -            123     7e-07   27.9   0.2   2   2       5.5   1.6e+03   -2.3   0.4    19    38   349   368   331   402 0.47 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 13470at5820          -            123   7.3e-07   27.9   0.1   1   1   4.5e-09   1.3e-06   27.0   0.1     2    69    42   108    41   111 0.88 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 13470at5820          -            123   5.3e-06   25.1   0.1   1   1   8.1e-08   2.4e-05   23.0   0.1     3    68   129   192   127   197 0.91 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 13470at5820          -            123   1.6e-05   23.6   0.2   1   3   5.3e-08   1.6e-05   23.6   0.2     2    38   173   209   172   219 0.86 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
