#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   1  11   7.3e-74   2.4e-70  236.1   5.9     1   139     2   140     2   156 0.95 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   2  11   9.4e-59     3e-55  186.0  15.3   127   265   170   338   167   347 0.88 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   3  11   2.1e-76   6.9e-73  244.5   9.7   272   411   419   560   406   564 0.96 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   4  11      0.13   4.3e+02   -3.5   0.1   409   427   584   602   582   609 0.84 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   5  11   2.5e-33     8e-30  101.7   0.6   421   486   623   688   619   692 0.94 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   6  11  9.3e-207    3e-203  676.7  44.3   485   865   718  1148   714  1159 0.92 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   7  11   2.4e-72   7.7e-69  231.1  10.8   861  1011  1194  1351  1191  1372 0.86 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   8  11   1.1e-98   3.6e-95  318.4  26.2   998  1162  1371  1535  1364  1544 0.97 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5   9  11  1.3e-125  4.2e-122  407.7  34.6  1162  1409  1625  1895  1623  1897 0.92 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5  10  11  7.4e-134  2.4e-130  435.0  31.4  1409  1667  1956  2227  1952  2236 0.94 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723438.1         -           2481 342at5820            -           1859         0 3123.8 274.5  11  11  1.9e-105  6.1e-102  340.8  22.4  1657  1859  2254  2481  2243  2481 0.90 | transcript=PVPAM_140036000_t1 | gene=PVPAM_140036000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=CASCJQ010000014:1315506-1322951(-) | protein_length=2481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718991.1         -           4441 342at5820            -           1859     0.059    9.3   0.2   1   1   2.7e-05     0.089    8.7   0.2   865   909  2331  2375  2324  2407 0.87 | transcript=PVPAM_050038300_t1 | gene=PVPAM_050038300 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000005:1407961-1421286(-) | protein_length=4441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/342at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/342at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/342at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
