#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723222.1         -            196 13890at5820          -            153   2.6e-71  237.0  21.2   1   2     3e-73   4.9e-70  232.8  12.1     1   127     1   129     1   150 0.85 | transcript=PVPAM_140014100_t1 | gene=PVPAM_140014100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:438037-438627(+) | protein_length=196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723222.1         -            196 13890at5820          -            153   2.6e-71  237.0  21.2   2   2   0.00023      0.38    9.1   4.0   108   146   144   189   124   196 0.67 | transcript=PVPAM_140014100_t1 | gene=PVPAM_140014100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:438037-438627(+) | protein_length=196 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718370.1         -            448 13890at5820          -            153     0.059   11.8   3.3   1   1   7.8e-05      0.13   10.7   3.3    80   145   143   209   127   216 0.81 | transcript=PVPAM_040011600_t1 | gene=PVPAM_040011600 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000004:286377-287975(+) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723980.1         -            334 13890at5820          -            153      0.61    8.5   8.9   1   3    0.0001      0.16   10.3   1.3    75   127    19    70    13    88 0.86 | transcript=PVPAM_000010900_t1 | gene=PVPAM_000010900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000017:277116-278470(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723980.1         -            334 13890at5820          -            153      0.61    8.5   8.9   2   3       1.3   2.1e+03   -3.0   0.4    80   104   139   163   132   200 0.65 | transcript=PVPAM_000010900_t1 | gene=PVPAM_000010900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000017:277116-278470(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723980.1         -            334 13890at5820          -            153      0.61    8.5   8.9   3   3     0.023        38    2.7   0.0    60   114   257   315   250   333 0.67 | transcript=PVPAM_000010900_t1 | gene=PVPAM_000010900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000017:277116-278470(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718050.1         -            334 13890at5820          -            153       1.7    7.1   7.7   1   3   0.00011      0.17   10.3   0.9    75   127    19    70    13    77 0.86 | transcript=PVPAM_020028300_t1 | gene=PVPAM_020028300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A8S4HF25] | transcript_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A8S4HF25] | location=CASCJQ010000002:1017701-1019059(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718050.1         -            334 13890at5820          -            153       1.7    7.1   7.7   2   3       1.3   2.1e+03   -3.0   0.5    80   104   139   163   132   201 0.63 | transcript=PVPAM_020028300_t1 | gene=PVPAM_020028300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A8S4HF25] | transcript_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A8S4HF25] | location=CASCJQ010000002:1017701-1019059(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718050.1         -            334 13890at5820          -            153       1.7    7.1   7.7   3   3      0.14   2.3e+02    0.1   0.0    61   114   258   315   251   333 0.63 | transcript=PVPAM_020028300_t1 | gene=PVPAM_020028300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A8S4HF25] | transcript_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A8S4HF25] | location=CASCJQ010000002:1017701-1019059(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13890at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:45 2026
# [ok]
