#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722251.1         -            344 8432at5820           -            308  1.1e-198  656.9   4.4   1   1  2.2e-201  1.3e-198  656.6   4.4     1   308    16   339    16   339 0.97 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718430.1         -            330 8432at5820           -            308   5.2e-62  208.0   4.9   1   1   1.1e-64   6.6e-62  207.6   4.9     1   295     7   322     7   328 0.84 | transcript=PVPAM_040017600_t1 | gene=PVPAM_040017600 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=CASCJQ010000004:549762-550754(-) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723751.1         -            336 8432at5820           -            308   6.5e-57  191.2   0.9   1   1   1.3e-59   7.9e-57  191.0   0.9     1   294    19   323    19   335 0.84 | transcript=PVPAM_140067400_t1 | gene=PVPAM_140067400 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=CASCJQ010000014:2694197-2695556(+) | protein_length=336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720395.1         -            349 8432at5820           -            308   6.2e-19   66.5   0.9   1   2   1.3e-10   7.8e-08   30.1   0.0     2    79     4    83     3    91 0.86 | transcript=PVPAM_090016000_t1 | gene=PVPAM_090016000 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=CASCJQ010000009:574527-575576(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720395.1         -            349 8432at5820           -            308   6.2e-19   66.5   0.9   2   2   3.5e-12   2.1e-09   35.3   0.1    76   180   101   207    82   240 0.82 | transcript=PVPAM_090016000_t1 | gene=PVPAM_090016000 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=CASCJQ010000009:574527-575576(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 8432at5820           -            308   1.3e-14   52.3   2.2   1   2     0.046        27    2.0   0.0     1    25   397   421   397   427 0.87 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 8432at5820           -            308   1.3e-14   52.3   2.2   2   2   3.5e-16     2e-13   48.4   1.7    16   212   435   633   425   682 0.77 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 8432at5820           -            308   0.00021   18.8   0.0   1   2   2.1e-05     0.013   13.0   0.0    31   111   289   369   278   377 0.76 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 8432at5820           -            308   0.00021   18.8   0.0   2   2     0.029        17    2.7   0.0    22    49   559   588   548   644 0.74 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722673.1         -           1162 8432at5820           -            308   0.00095   16.6   0.9   1   2       0.3   1.8e+02   -0.7   0.0    59   107   383   429   379   436 0.79 | transcript=PVPAM_130017400_t1 | gene=PVPAM_130017400 | organism=Plasmodium_vivax_PAM | gene_product=origin recognition complex subunit 1, putative | transcript_product=origin recognition complex subunit 1, putative | location=CASCJQ010000013:577287-580775(+) | protein_length=1162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722673.1         -           1162 8432at5820           -            308   0.00095   16.6   0.9   2   2   2.2e-05     0.013   12.9   0.3    27    81   775   829   751   987 0.76 | transcript=PVPAM_130017400_t1 | gene=PVPAM_130017400 | organism=Plasmodium_vivax_PAM | gene_product=origin recognition complex subunit 1, putative | transcript_product=origin recognition complex subunit 1, putative | location=CASCJQ010000013:577287-580775(+) | protein_length=1162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
