#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719951.1         -            727 8755at5820           -            527  2.3e-227  754.4  74.8   1   2  1.5e-197  3.8e-195  648.1  35.8     1   395     1   467     1   489 0.85 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 8755at5820           -            527  2.3e-227  754.4  74.8   2   2   5.2e-35   1.3e-32  111.7  31.9   362   520   498   708   469   721 0.74 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 8755at5820           -            527   4.3e-17   60.5   1.5   1   1   1.7e-19   4.3e-17   60.5   1.5     8    77    43   108    40   165 0.84 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 8755at5820           -            527   1.6e-16   58.6   1.2   1   2   2.7e-18   6.9e-16   56.5   0.4     8    80     4    74     2    90 0.89 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 8755at5820           -            527   1.6e-16   58.6   1.2   2   2      0.41   1.1e+02   -0.2   0.0   221   252   259   291   255   303 0.83 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 8755at5820           -            527     2e-16   58.3   0.0   1   1   1.3e-18   3.3e-16   57.6   0.0     5    90    79   162    77   196 0.90 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 8755at5820           -            527     7e-16   56.5   1.5   1   2   2.7e-18     7e-16   56.5   1.5     9   104    47   136    43   149 0.91 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 8755at5820           -            527     7e-16   56.5   1.5   2   2       1.8   4.7e+02   -2.3   2.7   418   517   255   291   176   341 0.56 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 8755at5820           -            527     8e-16   56.3   0.6   1   1   5.2e-18   1.3e-15   55.6   0.3     7    75     5    69     1    74 0.91 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 8755at5820           -            527   8.2e-14   49.7   0.8   1   3      0.75   1.9e+02   -1.0   8.5   312   393    77   152    71   164 0.50 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 8755at5820           -            527   8.2e-14   49.7   0.8   2   3   3.2e-16   8.2e-14   49.7   0.8     8    78   294   359   290   365 0.93 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
