#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723019.1         -            519 6879at5820           -            333  1.2e-173  575.3  30.2   1   3  2.3e-104  3.7e-101  336.9  10.1     1   200     1   222     1   237 0.91 | transcript=PVPAM_130052500_t1 | gene=PVPAM_130052500 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:2083195-2085466(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723019.1         -            519 6879at5820           -            333  1.2e-173  575.3  30.2   2   3     0.035        56    1.0   0.4   183   221   306   344   280   350 0.84 | transcript=PVPAM_130052500_t1 | gene=PVPAM_130052500 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:2083195-2085466(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723019.1         -            519 6879at5820           -            333  1.2e-173  575.3  30.2   3   3   4.2e-77   6.8e-74  247.3   5.7   200   333   386   519   363   519 0.95 | transcript=PVPAM_130052500_t1 | gene=PVPAM_130052500 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:2083195-2085466(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722927.1         -            173 6879at5820           -            333   1.9e-06   25.6   2.9   1   2   2.2e-06    0.0035   14.8   1.7    32    86     3    55     1    59 0.86 | transcript=PVPAM_130042900_t1 | gene=PVPAM_130042900 | organism=Plasmodium_vivax_PAM | gene_product=DIX domain-containing protein, putative | transcript_product=DIX domain-containing protein, putative | location=CASCJQ010000013:1653443-1654550(+) | protein_length=173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722927.1         -            173 6879at5820           -            333   1.9e-06   25.6   2.9   2   2     4e-05     0.065   10.7   0.0   126   161    61    96    55   169 0.62 | transcript=PVPAM_130042900_t1 | gene=PVPAM_130042900 | organism=Plasmodium_vivax_PAM | gene_product=DIX domain-containing protein, putative | transcript_product=DIX domain-containing protein, putative | location=CASCJQ010000013:1653443-1654550(+) | protein_length=173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718111.1         -            285 6879at5820           -            333   0.00025   18.6   0.2   1   2      0.29   4.7e+02   -2.0   0.0    39    60   128   149   121   158 0.79 | transcript=PVPAM_030010700_t1 | gene=PVPAM_030010700 | organism=Plasmodium_vivax_PAM | gene_product=ribosomal protein L25, putative | transcript_product=ribosomal protein L25, putative | location=CASCJQ010000003:279654-281171(-) | protein_length=285 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718111.1         -            285 6879at5820           -            333   0.00025   18.6   0.2   2   2   4.8e-07   0.00078   17.0   0.1    31   114   181   267   166   280 0.79 | transcript=PVPAM_030010700_t1 | gene=PVPAM_030010700 | organism=Plasmodium_vivax_PAM | gene_product=ribosomal protein L25, putative | transcript_product=ribosomal protein L25, putative | location=CASCJQ010000003:279654-281171(-) | protein_length=285 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 6879at5820           -            333    0.0013   16.2   0.2   1   3   8.3e-07    0.0013   16.2   0.2   286   328    21    63    10    67 0.90 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 6879at5820           -            333    0.0013   16.2   0.2   2   3       3.9   6.3e+03   -5.7   7.0   202   245   220   265   194   292 0.61 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 6879at5820           -            333    0.0013   16.2   0.2   3   3       2.4   3.9e+03   -5.0  10.6   181   253   614   688   602   696 0.79 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6879at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6879at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6879at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:59 2026
# [ok]
