#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722846.1         -            723 5905at5820           -            437  5.2e-255  844.5  20.6   1   3   2.3e-15   2.5e-12   44.8   0.3    18    74    62   119    57   130 0.82 | transcript=PVPAM_130034800_t1 | gene=PVPAM_130034800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=CASCJQ010000013:1341467-1344868(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722846.1         -            723 5905at5820           -            437  5.2e-255  844.5  20.6   2   3  5.2e-157  5.6e-154  511.6   6.5    60   302   243   489   232   496 0.93 | transcript=PVPAM_130034800_t1 | gene=PVPAM_130034800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=CASCJQ010000013:1341467-1344868(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722846.1         -            723 5905at5820           -            437  5.2e-255  844.5  20.6   3   3   6.6e-92   7.1e-89  297.0   1.1   290   437   571   718   564   718 0.96 | transcript=PVPAM_130034800_t1 | gene=PVPAM_130034800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=CASCJQ010000013:1341467-1344868(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717739.1         -            545 5905at5820           -            437  1.7e-114  381.4  11.4   1   3       1.2   1.3e+03   -3.7   0.4    24    54    47    80    39    86 0.62 | transcript=PVPAM_010025300_t1 | gene=PVPAM_010025300 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=CASCJQ010000001:917382-919019(+) | protein_length=545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717739.1         -            545 5905at5820           -            437  1.7e-114  381.4  11.4   2   3   2.3e-82   2.4e-79  265.6   1.1    54   279   189   416   177   418 0.94 | transcript=PVPAM_010025300_t1 | gene=PVPAM_010025300 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=CASCJQ010000001:917382-919019(+) | protein_length=545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717739.1         -            545 5905at5820           -            437  1.7e-114  381.4  11.4   3   3   4.4e-40   4.7e-37  126.2   0.2   302   429   414   541   413   545 0.97 | transcript=PVPAM_010025300_t1 | gene=PVPAM_010025300 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=CASCJQ010000001:917382-919019(+) | protein_length=545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722225.1         -            373 5905at5820           -            437   4.6e-41  139.5   5.0   1   2   7.1e-37   7.7e-34  115.7   2.8    74   270    47   239    18   252 0.88 | transcript=PVPAM_120046200_t1 | gene=PVPAM_120046200 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=CASCJQ010000012:1662294-1665066(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722225.1         -            373 5905at5820           -            437   4.6e-41  139.5   5.0   2   2   3.6e-09   3.9e-06   24.4   0.0   307   410   256   365   244   373 0.77 | transcript=PVPAM_120046200_t1 | gene=PVPAM_120046200 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=CASCJQ010000012:1662294-1665066(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720186.1         -            438 5905at5820           -            437   5.3e-29   99.7   0.3   1   2   6.8e-28   7.3e-25   86.1   0.2    69   266    98   301    72   316 0.83 | transcript=PVPAM_080040800_t1 | gene=PVPAM_080040800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=CASCJQ010000008:1583584-1586747(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720186.1         -            438 5905at5820           -            437   5.3e-29   99.7   0.3   2   2   2.1e-05     0.023   12.0   0.0   344   416   351   429   309   437 0.73 | transcript=PVPAM_080040800_t1 | gene=PVPAM_080040800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=CASCJQ010000008:1583584-1586747(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723053.1         -            450 5905at5820           -            437   8.4e-25   85.9  11.1   1   2   1.1e-26   1.2e-23   82.0   2.4    55   265   118   322    91   328 0.85 | transcript=PVPAM_130055900_t1 | gene=PVPAM_130055900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=CASCJQ010000013:2265818-2267170(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723053.1         -            450 5905at5820           -            437   8.4e-25   85.9  11.1   2   2   0.00016      0.17    9.1   1.7   301   409   329   440   322   450 0.72 | transcript=PVPAM_130055900_t1 | gene=PVPAM_130055900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=CASCJQ010000013:2265818-2267170(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719293.1         -            479 5905at5820           -            437   2.7e-11   41.3   3.7   1   1   4.7e-14     5e-11   40.5   3.7    75   409    84   428    71   448 0.72 | transcript=PVPAM_060030000_t1 | gene=PVPAM_060030000 | organism=Plasmodium_vivax_PAM | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=CASCJQ010000006:1026755-1029335(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5905at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5905at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5905at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:01 2026
# [ok]
