#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718130.1         -            843 3707at5820           -            659         0 1235.0  29.2   1   2     0.023        29    1.2   0.1    13    46    62    94    52   113 0.67 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 3707at5820           -            659         0 1235.0  29.2   2   2         0         0 1229.0  24.4    65   659   206   835   140   835 0.93 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 3707at5820           -            659   6.8e-88  294.1  16.1   1   1   7.4e-91   9.6e-88  293.6  16.1    27   569   147   695   134   713 0.87 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 3707at5820           -            659     1e-86  290.2  17.9   1   2   1.8e-07   0.00023   18.0   0.0    74   114   463   503   411   526 0.75 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 3707at5820           -            659     1e-86  290.2  17.9   2   2   1.4e-84   1.8e-81  272.8  14.8   130   647   551  1073   542  1082 0.90 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 3707at5820           -            659   4.2e-30  103.1   3.8   1   1   1.5e-32   1.9e-29  100.9   3.8    79   639    48   639    32   650 0.75 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3707at5820           -            659   2.2e-27   94.1  10.8   1   3   2.2e-16   2.8e-13   47.5   0.3    80   293    67   267    62   271 0.73 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3707at5820           -            659   2.2e-27   94.1  10.8   2   3   1.6e-15   2.1e-12   44.6   1.0   343   571   365   603   359   631 0.76 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3707at5820           -            659   2.2e-27   94.1  10.8   3   3   3.1e-06     0.004   14.0   2.2   426   570   538   688   525   692 0.72 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3707at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3707at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3707at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:22 2026
# [ok]
