#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   1  10      0.11     7e+02   -3.9   0.0    12    54   146   184   144   189 0.80 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   2  10   3.8e-08   0.00025   17.4   3.6    23    68   263   312   251   333 0.62 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   3  10   7.9e-93   5.1e-89  297.9  16.7    55   265   450   663   434   674 0.91 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   4  10   8.9e-17   5.7e-13   46.0   0.0   264   315   722   773   717   788 0.91 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   5  10  8.1e-100   5.2e-96  321.0  15.4   319   498   868  1049   855  1052 0.94 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   6  10     3e-44   1.9e-40  137.0   2.4   493   585  1083  1180  1073  1185 0.95 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   7  10   1.2e-61   7.5e-58  194.7   4.8   592   704  1275  1387  1264  1397 0.95 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   8  10   4.4e-14   2.8e-10   37.1   0.0   703   758  1436  1501  1416  1519 0.79 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8   9  10   9.1e-43   5.9e-39  132.1   6.6   770   875  1683  1799  1670  1802 0.86 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721165.1         -           2163 527at5820            -           1142         0 1506.6 123.8  10  10  2.3e-111  1.5e-107  359.3  22.9   875  1142  1841  2163  1832  2163 0.84 | transcript=PVPAM_110006700_t1 | gene=PVPAM_110006700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:71306-77797(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
