#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720325.1         -            491 5577at5820           -            435  5.7e-261  864.6  20.8   1   2  2.2e-153    2e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720325.1         -            491 5577at5820           -            435  5.7e-261  864.6  20.8   2   2  9.3e-114  8.6e-111  369.7  10.7   231   435   270   491   264   491 0.94 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 5577at5820           -            435   3.9e-28   97.4   0.1   1   2   3.2e-19   2.9e-16   58.2   0.0     9   246     9   249     1   263 0.72 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 5577at5820           -            435   3.9e-28   97.4   0.1   2   2   7.4e-13   6.8e-10   37.3   0.0   347   434   292   375   279   376 0.86 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 5577at5820           -            435   2.1e-27   94.9   0.0   1   2   5.9e-19   5.4e-16   57.4   0.0     4   247     5   250     3   283 0.73 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 5577at5820           -            435   2.1e-27   94.9   0.0   2   2   5.5e-12     5e-09   34.4   0.0   353   434   298   375   282   376 0.85 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 5577at5820           -            435   2.9e-27   94.5   2.0   1   2   1.3e-19   1.2e-16   59.5   0.8    81   198    83   198     8   267 0.70 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 5577at5820           -            435   2.9e-27   94.5   2.0   2   2   7.7e-12   7.1e-09   33.9   0.0   350   426   298   371   275   378 0.84 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5577at5820           -            435   2.6e-25   88.1   0.1   1   2   1.3e-18   1.2e-15   56.2   0.0    99   209   134   244   129   247 0.92 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5577at5820           -            435   2.6e-25   88.1   0.1   2   2   1.4e-10   1.3e-07   29.8   0.0   326   434   384   492   361   493 0.78 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721084.1         -            603 5577at5820           -            435   7.7e-19   66.8  23.1   1   2   0.00012      0.11   10.2   0.4     2   106     4   122     3   143 0.73 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
