#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   1   9   0.00024       1.5    5.4   4.3     1    20     2    21     2    28 0.88 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   2   9   1.3e-57   8.3e-54  181.6   0.5    13   160    48   211    42   217 0.85 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   3   9   1.3e-48   8.4e-45  151.8   6.5   123   239   224   342   214   349 0.88 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   4   9     5e-11   3.2e-07   27.5   0.1   240   268   389   417   385   420 0.94 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   5   9   9.3e-13     6e-09   33.2   0.4   268   317   448   506   439   513 0.78 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   6   9   4.3e-32   2.8e-28   97.2  11.7   323   433   665   791   647   801 0.86 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   7   9   4.6e-55     3e-51  173.2   4.0   441   559   989  1116   978  1119 0.92 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   8   9   5.6e-97   3.6e-93  311.9  15.1   557   734  1150  1336  1141  1348 0.92 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721535.1         -           1580 1726at5820           -            880         0 1176.1 126.8   9   9   1.2e-73   7.5e-70  234.7  28.6   743   880  1427  1580  1412  1580 0.89 | transcript=PVPAM_110044000_t1 | gene=PVPAM_110044000 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC6, putative | transcript_product=protein KIC6, putative | location=CASCJQ010000011:1614185-1619169(-) | protein_length=1580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1726at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1726at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1726at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:25 2026
# [ok]
