#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   1  12      0.28   1.8e+03   -5.6  10.4    14    93    43   131    33   151 0.56 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   2  12   1.8e-27   1.2e-23   81.1  16.5    18   112   181   288   171   295 0.78 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   3  12   4.6e-50     3e-46  156.1   7.1    95   189   305   399   291   414 0.88 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   4  12     3e-90   1.9e-86  289.3   7.3   188   334   422   568   417   571 0.98 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   5  12   1.2e-89   8.1e-86  287.2  20.9   334   500   600   781   587   794 0.89 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   6  12   6.5e-81   4.2e-77  258.3  15.9   492   640   828   979   820   983 0.96 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   7  12    4e-172  2.6e-168  560.6  39.1   636   953  1080  1422  1075  1434 0.93 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   8  12   1.4e-48     9e-45  151.1   8.1   941  1053  1508  1626  1497  1644 0.81 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8   9  12   1.8e-49   1.1e-45  154.1   8.0  1048  1146  1672  1770  1667  1779 0.96 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8  10  12  2.1e-204  1.3e-200  667.6  31.6  1144  1477  1802  2136  1797  2195 0.90 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8  11  12   6.5e-07    0.0042   13.0   0.6  1459  1488  2234  2263  2228  2278 0.85 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722319.1         -           2406 580at5820            -           1578         0 2663.8 266.8  12  12   1.4e-37   9.4e-34  114.6  16.1  1474  1578  2278  2406  2261  2406 0.81 | transcript=PVPAM_120055600_t1 | gene=PVPAM_120055600 | organism=Plasmodium_vivax_PAM | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=CASCJQ010000012:2040932-2048152(-) | protein_length=2406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/580at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/580at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/580at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:31 2026
# [ok]
