#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   1   7  1.1e-101   2.3e-98  329.0  35.7     1   200    31   250    31   259 0.90 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   2   7   8.4e-26   1.8e-22   77.7   1.1   196   280   305   404   270   416 0.85 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   3   7   1.2e-61   2.6e-58  196.4   3.1   281   412   480   625   476   629 0.90 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   4   7   2.9e-50   6.3e-47  158.7   3.0   408   509   676   783   672   801 0.87 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   5   7   4.3e-67   9.2e-64  214.4   0.6   511   643   828   975   816  1013 0.82 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   6   7    2e-213  4.3e-210  699.0  12.8   656   974  1064  1382  1039  1394 0.93 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   7   7     2e-51   4.3e-48  162.5   0.9   972  1119  1409  1584  1404  1584 0.90 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721070.1         -            443 1518at5820           -           1119   3.8e-06   23.6   0.7   1   2     8e-09   1.7e-05   21.5   0.5   754   801   263   309   255   318 0.85 | transcript=PVPAM_100033800_t1 | gene=PVPAM_100033800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000010:1238815-1240280(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721070.1         -            443 1518at5820           -           1119   3.8e-06   23.6   0.7   2   2      0.05   1.1e+02   -1.1   0.0   926   944   398   416   347   422 0.83 | transcript=PVPAM_100033800_t1 | gene=PVPAM_100033800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000010:1238815-1240280(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719698.1         -            448 1518at5820           -           1119   0.00013   18.5  11.1   1   3      0.65   1.4e+03   -4.8   1.1  1004  1036    45    77    40    91 0.70 | transcript=PVPAM_070031200_t1 | gene=PVPAM_070031200 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=CASCJQ010000007:1127941-1129287(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719698.1         -            448 1518at5820           -           1119   0.00013   18.5  11.1   2   3   4.9e-07    0.0011   15.5   0.3   752   795   143   183   137   188 0.82 | transcript=PVPAM_070031200_t1 | gene=PVPAM_070031200 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=CASCJQ010000007:1127941-1129287(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
